,time,open,high,low,close,tick_volume,spread,real_volume,retorno
0,1582848000,14.18,14.22,13.7,14.22,60068,1,45807500,
1,1583107200,14.27,14.65,14.08,14.4,67035,1,31307000,0.012658227848101333
2,1583193600,14.43,14.79,14.34,14.42,46586,1,26696400,0.001388888888888884
3,1583280000,14.74,15.21,14.45,14.97,41807,1,35799500,0.038141470180305115
4,1583366400,14.71,15.19,14.61,14.9,65053,1,45949800,-0.004676018704074858
5,1583452800,14.53,15.16,14.38,14.98,65479,1,43528300,0.005369127516778427
6,1583712000,14.33,14.65,14.15,14.35,73672,1,46086300,-0.0420560747663552
7,1583798400,14.28,14.63,13.44,14.1,72741,1,52558800,-0.017421602787456414
8,1583884800,13.83,14.02,12.62,13.45,71112,1,39690900,-0.046099290780141855
9,1583971200,12.21,12.4,11.14,11.33,63716,1,36042700,-0.15762081784386617
10,1584057600,12.32,12.8,11.39,12.42,85350,1,51206900,0.09620476610767881
11,1584316800,11.14,11.51,10.2,10.79,77813,1,51827700,-0.1312399355877617
12,1584403200,10.81,11.7,10.81,11.43,88956,1,69832800,0.05931417979610765
13,1584489600,10.5,10.96,10.32,10.94,68827,1,62684200,-0.04286964129483817
14,1584576000,10.58,11.89,10.13,11.44,78379,1,53130300,0.04570383912248621
15,1584662400,11.64,12.22,11.5,11.79,71931,1,49835900,0.030594405594405627
16,1584921600,12.01,12.01,10.94,11.26,59862,1,50119100,-0.04495335029686165
17,1585008000,11.85,12.31,11.04,11.04,51834,1,33593200,-0.019538188277087087
18,1585094400,11.05,11.81,10.82,11.39,57043,1,33562300,0.031702898550724834
19,1585180800,11.64,12.99,11.63,12.52,82181,1,45836600,0.09920983318700616
20,1585267200,12.24,12.93,11.72,12.22,74245,1,38114800,-0.023961661341852958
21,1585526400,12.32,12.73,12.1,12.28,44831,1,29744400,0.004909983633387682
22,1585612800,12.13,12.13,11.59,11.66,42480,1,27195800,-0.05048859934853411
23,1585699200,11.35,11.66,11.19,11.43,40148,1,25163000,-0.019725557461406584
24,1585785600,11.42,11.97,11.22,11.73,36999,1,17943000,0.026246719160105014
25,1585872000,11.68,11.68,10.92,11.14,42586,1,22795700,-0.05029838022165389
26,1586131200,11.74,12.29,11.42,11.6,36205,1,19049500,0.04129263913824044
27,1586217600,12.37,12.69,12.03,12.14,53606,1,37501200,0.04655172413793118
28,1586304000,12.23,12.4,11.76,12.04,37571,1,22763500,-0.008237232289950658
29,1586390400,12.24,12.44,11.84,11.84,53270,1,23697400,-0.01661129568106301
30,1586736000,11.84,11.97,11.64,11.84,28053,1,16971900,0.0
31,1586822400,12.02,12.31,11.83,11.83,43471,1,21188200,-0.0008445945945946276
32,1586908800,11.66,11.8,11.46,11.65,58277,1,35753000,-0.015215553677092153
33,1586995200,11.7,11.76,11.15,11.2,48996,1,25828300,-0.0386266094420602
34,1587081600,11.44,11.54,11.24,11.35,32428,1,16688100,0.013392857142857206
35,1587340800,11.15,11.59,11.04,11.36,38983,1,21988300,0.0008810572687223406
