,time,open,high,low,close,tick_volume,spread,real_volume,retorno
0,1583366400,67.58,67.79,60.82,62.14,14618,1,3692300,
1,1583452800,57.36,59.68,54.81,56.07,20188,1,5868000,-0.0976826520759575
2,1583712000,49.93,51.56,48.86,49.08,23683,1,6125700,-0.12466559657570897
3,1583798400,54.12,54.73,50.2,54.73,17093,1,3602400,0.11511817440912786
4,1583884800,51.91,54.55,47.23,51.61,26835,1,5256900,-0.05700712589073631
5,1583971200,47.74,47.74,38.7,42.85,14354,1,4060900,-0.16973454756830064
6,1584057600,50.83,55.63,42.36,54.59,28899,1,6296100,0.2739789964994166
7,1584316800,44.95,55.31,44.95,49.33,37732,1,8648200,-0.0963546437076388
8,1584403200,51.36,55.24,48.84,53.52,21714,1,4813500,0.08493817149807437
9,1584489600,48.73,53.33,47.62,50.83,25086,1,6190200,-0.05026158445440965
10,1584576000,49.8,52.07,47.96,48.5,33809,1,7572400,-0.04583907141451893
11,1584662400,51.34,54.03,48.94,49.04,24959,1,5555700,0.011134020618556617
12,1584921600,48.83,51.19,44.22,45.19,17290,1,3452300,-0.0785073409461664
13,1585008000,48.04,54.92,48.04,54.61,14069,1,3190100,0.20845319761009073
14,1585094400,54.07,62.78,54.07,59.8,15705,1,4171000,0.09503753891228706
15,1585180800,60.44,62.35,55.31,55.92,19913,1,5485800,-0.0648829431438126
16,1585267200,53.07,54.14,50.33,51.11,17305,1,4274500,-0.08601573676680974
17,1585526400,52.27,53.82,49.42,50.82,14900,1,3912400,-0.005674036392095516
18,1585612800,50.59,50.87,47.19,47.84,20594,1,5055000,-0.058638331365604035
19,1585699200,45.92,48.68,44.65,47.92,21544,1,4932400,0.0016722408026754731
20,1585785600,48.48,51.15,48.16,49.57,17038,1,3646000,0.03443238731218701
21,1585872000,49.16,49.16,44.6,44.95,18639,1,3996100,-0.09320153318539437
22,1586131200,47.94,54.24,47.34,53.66,12654,1,3388800,0.19377085650723003
23,1586217600,58.39,62.99,56.44,57.3,18680,1,4958000,0.06783451360417447
24,1586304000,57.3,61.55,55.68,61.18,11744,1,2762900,0.0677137870855149
25,1586390400,61.84,62.58,56.9,57.53,13473,1,3106400,-0.059660019614253046
26,1586736000,56.61,59.09,55.41,58.1,12752,1,3218900,0.009907874152615959
27,1586822400,60.09,60.38,58.34,59.3,14288,1,3259400,0.0206540447504302
28,1586908800,57.7,63.46,56.61,62.59,19232,1,4455900,0.055480607082630806
29,1586995200,63.59,66.53,62.59,64.47,16961,1,4275100,0.03003674708419868
30,1587081600,65.99,66.15,60.61,61.59,16352,1,3733000,-0.04467194043741263
31,1587340800,59.8,65.97,59.24,64.44,16454,1,3522300,0.046273745737944294
32,1587513600,65.5,76.57,64.5,75.49,33725,1,9056700,0.1714773432650527
33,1587600000,76.74,78.51,68.57,72.55,29052,1,6463700,-0.03894555570274205
34,1587686400,70.81,71.61,63.98,68.45,26453,1,5647700,-0.05651274982770493
35,1587945600,71.48,75.51,71.46,74.93,20705,1,4118100,0.09466764061358668
36,1588032000,76.75,79.38,75.96,76.95,26103,1,5365500,0.02695849459495525
