,time,open,high,low,close,tick_volume,spread,real_volume,retorno
0,1583366400,43.85,43.85,37.7,38.25,29757,1,6551500,
1,1583452800,34.51,39.78,33.8,38.68,47630,1,12921400,0.011241830065359393
2,1583712000,36.0,36.35,31.55,32.1,28661,1,6236000,-0.17011375387797312
3,1583798400,36.8,36.8,32.9,36.18,27878,1,6272100,0.12710280373831773
4,1583884800,33.98,35.12,28.48,30.25,31381,1,7984600,-0.16390270867882806
5,1583971200,20.02,22.02,20.0,20.3,14490,1,8280700,-0.3289256198347107
6,1584057600,24.47,25.0,20.3,24.71,77143,1,18994100,0.21724137931034493
7,1584316800,17.4,20.78,15.58,15.6,53527,1,17601800,-0.36867664912990694
8,1584403200,16.34,16.34,13.72,15.23,55850,1,19330000,-0.023717948717948634
9,1584489600,13.5,13.5,9.1,10.35,50505,1,21130800,-0.3204202232435982
10,1584576000,9.8,13.4,8.74,11.97,40615,1,16441800,0.156521739130435
11,1584662400,13.7,17.5,13.01,13.8,37638,1,17389600,0.1528822055137844
12,1584921600,14.22,14.34,12.53,14.28,34123,1,12918000,0.03478260869565197
13,1585008000,16.6,17.66,15.66,16.17,47196,1,19293800,0.13235294117647078
14,1585094400,16.59,20.0,16.55,19.17,51932,1,19157000,0.1855287569573283
15,1585180800,19.0,23.48,19.0,20.52,57057,1,19567600,0.07042253521126751
16,1585267200,19.23,21.98,18.25,19.5,37027,1,13139700,-0.049707602339181256
17,1585526400,20.97,22.38,18.9,19.09,28592,1,8693600,-0.021025641025641084
18,1585612800,19.5,19.65,17.2,17.55,30889,1,12128300,-0.08067050811943421
19,1585699200,16.04,16.09,14.37,14.85,41631,1,16689000,-0.15384615384615385
20,1585785600,15.2,15.98,14.4,14.61,31353,1,11003600,-0.016161616161616155
21,1585872000,14.6,14.61,13.12,14.1,25078,1,8196800,-0.03490759753593431
22,1586131200,15.8,15.92,14.71,15.6,23344,1,9488200,0.1063829787234043
23,1586217600,16.86,17.9,15.6,15.6,42452,1,16837600,0.0
24,1586304000,15.69,16.86,15.01,16.79,29197,1,13036800,0.07628205128205123
25,1586390400,17.44,17.6,16.02,16.3,30101,1,12700100,-0.029184038117927247
26,1586736000,16.39,16.71,15.62,16.15,27412,1,8409300,-0.00920245398773023
27,1586822400,16.28,16.9,15.91,16.35,30552,1,12801300,0.012383900928792713
28,1586908800,15.8,16.87,15.71,16.5,22271,1,9274200,0.00917431192660545
29,1586995200,16.93,17.2,16.0,16.0,19855,1,8573300,-0.030303030303030276
