,time,open,high,low,close,tick_volume,spread,real_volume,retorno
0,1583366400,15.33,15.39,14.32,14.68,43963,1,34200600,
1,1583452800,14.18,14.61,13.6,14.48,55054,1,66089700,-0.013623978201634857
2,1583712000,13.42,13.9,12.67,12.74,80742,1,94312800,-0.12016574585635365
3,1583798400,13.52,14.38,12.85,14.33,70325,1,79932000,0.12480376766091061
4,1583884800,13.56,13.85,12.15,13.26,63394,1,81851100,-0.07466852756454989
5,1583971200,11.22,11.53,9.97,11.49,51577,1,101725200,-0.13348416289592757
6,1584057600,13.36,13.52,11.58,12.74,95331,1,133247100,0.10879025239338547
7,1584316800,10.61,11.82,10.48,10.68,72474,1,78677700,-0.16169544740973318
8,1584403200,10.85,11.41,10.48,11.07,72885,1,89549100,0.036516853932584414
9,1584489600,10.13,10.51,9.38,10.22,85961,1,121589700,-0.07678410117434509
10,1584576000,9.81,10.25,9.12,10.13,77920,1,156828900,-0.008806262230919737
11,1584662400,10.58,11.19,9.73,10.11,104415,1,99450900,-0.001974333662389083
12,1584921600,10.3,10.33,9.25,9.49,65549,1,49709400,-0.061325420375865414
13,1585008000,10.42,11.51,10.39,11.31,58365,1,81628500,0.19178082191780832
14,1585094400,11.15,12.4,11.15,12.09,68360,1,63643200,0.06896551724137923
15,1585180800,12.31,12.51,11.51,12.23,73901,1,74265300,0.011579818031431044
16,1585267200,11.6,12.02,11.46,11.68,60205,1,55650300,-0.04497138184791505
17,1585526400,11.63,12.05,11.49,11.71,40977,1,49666800,0.0025684931506850806
18,1585612800,11.36,11.76,11.09,11.36,42685,1,53387700,-0.029888983774551736
19,1585699200,10.92,11.05,10.5,10.97,41222,1,39897000,-0.034330985915492884
20,1585785600,10.96,11.7,10.89,11.65,39491,1,45133800,0.06198723792160443
21,1585872000,11.53,11.58,11.12,11.35,57445,1,57210600,-0.025751072961373467
22,1586131200,12.24,12.6,11.6,11.78,38838,1,40510500,0.037885462555065974
23,1586217600,12.79,13.04,12.06,12.19,53226,1,72460200,0.03480475382003401
24,1586304000,12.12,12.67,11.99,12.44,26112,1,24372300,0.020508613617719496
25,1586390400,12.5,12.62,12.04,12.35,46579,1,45572400,-0.007234726688102877
26,1586736000,12.2,12.59,11.95,12.45,29094,1,23426700,0.00809716599190291
27,1586822400,12.66,13.05,12.48,12.52,49264,1,35419200,0.005622489959839383
28,1586908800,12.06,12.76,12.06,12.64,36231,1,46042200,0.009584664536741228
29,1586995200,12.69,13.13,12.39,12.44,52173,1,49791600,-0.015822784810126667
30,1587081600,12.66,12.78,12.42,12.51,34899,1,30037200,0.00562700964630225
31,1587340800,12.09,13.04,12.09,12.85,46834,1,40014600,0.027178257394084637
32,1587513600,12.96,13.69,12.92,13.3,58195,1,48291300,0.035019455252918386
33,1587600000,13.44,13.69,12.85,13.06,56125,1,41836800,-0.018045112781954864
34,1587686400,12.79,12.85,11.19,11.71,88657,1,101786400,-0.10336906584992345
35,1587945600,12.03,12.53,11.98,12.42,55422,1,57513600,0.060631938514090544
36,1588032000,12.9,13.42,12.57,12.6,48062,1,52374000,0.01449275362318847
37,1588118400,12.87,12.88,12.29,12.63,42563,1,48209100,0.0023809523809523725
38,1588204800,12.44,12.55,12.04,12.16,35681,1,43182300,-0.03721298495645298
39,1588550400,11.99,12.28,11.93,12.15,36703,1,29630100,-0.000822368421052655
40,1588636800,12.2,12.65,12.2,12.26,22271,1,20741100,0.009053497942386857
