,time,open,high,low,close,tick_volume,spread,real_volume,retorno
0,1583366400,30.82,31.03,29.56,29.91,13408,1,2127800,
1,1583452800,28.72,29.59,28.25,29.03,10574,1,2219800,-0.029421598127716497
2,1583712000,26.52,26.53,24.07,24.59,18377,1,3683000,-0.15294522907337238
3,1583798400,26.87,28.61,25.88,28.13,18132,1,4566300,0.14396095973973155
4,1583884800,27.28,27.72,24.48,25.88,17377,1,3423300,-0.07998578030572345
5,1583971200,22.88,23.32,20.8,23.32,10231,1,3987100,-0.09891808346213282
6,1584057600,26.77,27.9,24.09,27.58,26568,1,5271900,0.18267581475128636
7,1584316800,23.25,26.34,22.8,24.47,20980,1,4157100,-0.11276287164612031
8,1584403200,25.27,27.11,24.57,26.1,22195,1,4680800,0.06661217817736009
9,1584489600,24.07,25.31,22.27,24.94,14553,1,3247300,-0.0444444444444444
10,1584576000,23.81,25.02,22.54,22.98,27119,1,4459100,-0.07858861267040906
11,1584662400,23.73,24.71,21.55,21.78,16076,1,2705100,-0.05221932114882499
12,1584921600,21.78,22.39,20.73,22.07,18851,1,4305500,0.0133149678604223
13,1585008000,24.14,24.77,23.41,23.41,8969,1,1937700,0.06071590394200266
14,1585094400,23.49,25.99,23.48,25.33,8930,1,1866000,0.08201623237932498
15,1585180800,25.04,26.44,24.48,25.41,14800,1,2594400,0.0031583103039873883
16,1585267200,23.71,25.08,23.71,24.31,11627,1,2213100,-0.04329004329004338
17,1585526400,24.59,25.61,24.5,25.55,8220,1,1540000,0.05100781571369817
18,1585612800,25.62,27.07,25.44,26.08,12016,1,2616900,0.020743639921722012
19,1585699200,25.05,26.71,24.83,26.17,12733,1,2466500,0.0034509202453989474
20,1585785600,26.43,26.89,25.22,25.93,12765,1,2360100,-0.009170806266717735
21,1585872000,25.72,25.79,23.71,24.07,16134,1,2997400,-0.07173158503663712
22,1586131200,25.61,26.15,25.04,25.82,15935,1,3203700,0.0727046115496468
23,1586217600,27.1,27.35,26.12,26.13,13432,1,2211700,0.012006196746707998
24,1586304000,25.98,26.58,25.64,26.08,12456,1,2578000,-0.0019135093761959432
25,1586390400,26.12,26.93,25.42,25.59,14222,1,2576600,-0.018788343558282183
26,1586736000,25.59,26.89,25.59,26.89,8966,1,1959000,0.050801094177413075
27,1586822400,27.49,27.65,26.82,26.82,7892,1,1840700,-0.002603198214949809
28,1586908800,26.35,26.76,25.72,25.85,12139,1,2748200,-0.03616703952274414
29,1586995200,26.1,26.39,25.31,25.68,8086,1,1481300,-0.006576402321083252
30,1587081600,26.35,26.68,26.04,26.48,7490,1,1549200,0.031152647975077885
31,1587340800,25.96,26.15,25.4,25.79,8608,1,1769400,-0.026057401812688896
32,1587513600,25.87,26.55,25.42,26.26,8833,1,2015000,0.01822411787514544
33,1587600000,26.43,27.55,26.04,26.29,13616,1,2548500,0.0011424219345010922
34,1587686400,25.76,26.61,24.49,26.55,23894,1,4409100,0.009889691898060216
35,1587945600,26.8,27.39,26.62,27.1,9977,1,2164400,0.020715630885122405
36,1588032000,27.59,27.77,26.6,26.6,9431,1,2110000,-0.01845018450184499
37,1588118400,27.01,28.36,26.79,28.01,13000,1,2860100,0.0530075187969925
38,1588204800,27.44,27.79,26.38,26.7,16972,1,4558300,-0.046769011067475996
39,1588550400,26.04,26.43,25.74,25.85,8270,1,1515400,-0.03183520599250933
40,1588636800,26.14,26.47,25.51,25.51,5044,1,1064600,-0.013152804642166394
41,1588723200,25.77,26.05,25.26,25.86,7511,1,1432200,0.013720109760877897
42,1588809600,26.39,27.31,26.2,26.54,14592,1,3923200,0.026295436968290842
43,1588896000,27.47,28.79,27.08,28.79,12981,1,3858000,0.08477769404672197
44,1589155200,28.19,29.06,27.96,28.56,13600,1,3888400,-0.007988885029524107
45,1589241600,28.72,29.56,28.5,29.48,16028,1,5231200,0.03221288515406173
46,1589328000,29.7,30.27,29.36,29.51,17300,1,4054500,0.0010176390773406485
47,1589414400,29.39,29.52,28.52,28.93,12839,1,2332800,-0.01965435445611663
48,1589500800,29.25,29.7,28.8,29.41,11791,1,2578100,0.016591773245765662
49,1589760000,30.41,32.12,30.24,31.88,14851,1,4500000,0.083985039102346
50,1589846400,32.12,32.52,31.51,32.32,10635,1,2639000,0.013801756587201952
51,1589932800,32.83,33.32,32.52,32.72,10749,1,2829700,0.012376237623762387
52,1590019200,32.52,32.64,31.49,31.6,17800,1,3084300,-0.03422982885085568
53,1590105600,31.56,31.88,30.99,30.99,10832,1,1884300,-0.019303797468354533
54,1590364800,31.93,32.23,30.83,30.87,8695,1,1587600,-0.0038722168441431837
55,1590451200,31.3,31.41,30.02,30.13,13669,1,2843300,-0.02397149335924853
56,1590537600,30.58,30.89,30.12,30.48,19249,1,5130000,0.011616329239960255
57,1590624000,30.52,31.17,30.19,30.19,9872,1,1889500,-0.009514435695538004
58,1590710400,30.66,31.52,30.49,31.52,12249,1,2221400,0.044054322623385156
59,1590969600,31.62,32.26,31.49,32.02,8077,1,1469500,0.01586294416243672
60,1591056000,32.09,32.41,31.75,31.83,13974,1,3302300,-0.00593379138038741
61,1591142400,32.36,32.57,31.64,31.69,12872,1,3625500,-0.0043983663210805934
62,1591228800,31.64,32.97,31.64,32.91,12997,1,2661100,0.03849794887977276
63,1591315200,33.51,33.67,32.19,32.25,14550,1,3482000,-0.0200546946216954
64,1591574400,32.65,33.05,31.89,31.89,11149,1,3348400,-0.011162790697674452
65,1591660800,31.66,32.32,31.44,32.32,16103,1,3384000,0.013483850736908165
66,1591747200,32.44,32.71,31.62,32.02,11190,1,2243100,-0.009282178217821735
67,1591920000,31.4,31.66,30.69,31.66,15947,1,2972100,-0.011242973141786461
68,1592179200,31.0,31.87,30.51,31.77,7756,1,1505500,0.003474415666456121
69,1592265600,32.36,32.63,31.85,32.52,7599,1,1581600,0.02360717658168099
70,1592352000,32.6,33.4,32.44,33.23,11726,1,2117500,0.021832718327183143
71,1592438400,33.26,33.45,32.78,33.2,7580,1,2295800,-0.0009027986758950446
