,time,open,high,low,close,tick_volume,spread,real_volume,retorno
0,1583366400,23.61,23.82,21.5,22.55,38892,1,16542300,
1,1583452800,21.55,22.31,21.36,22.12,27288,1,8223300,-0.01906873614190685
2,1583712000,19.74,20.59,18.49,19.93,53932,1,22565600,-0.09900542495479214
3,1583798400,20.83,22.46,20.45,21.89,40987,1,10852900,0.09834420471650773
4,1583884800,21.25,21.77,18.95,20.37,29875,1,8960600,-0.06943809958885339
5,1583971200,17.78,18.18,16.01,17.26,27987,1,8007500,-0.15267550319096712
6,1584057600,20.65,20.65,15.92,18.54,41477,1,12511900,0.07415990730011579
7,1584316800,15.89,17.15,15.77,15.97,41140,1,11488200,-0.13861920172599773
8,1584403200,16.08,17.01,15.58,16.39,38183,1,12995000,0.02629931120851592
9,1584489600,14.19,14.91,12.97,14.01,42512,1,13684700,-0.14521049420378285
10,1584576000,13.55,14.01,12.43,13.43,35412,1,13113700,-0.04139900071377589
11,1584662400,13.88,14.46,12.72,13.18,42967,1,11020200,-0.01861504095309008
12,1584921600,13.11,13.23,11.86,12.34,29807,1,13153800,-0.06373292867981795
13,1585008000,13.11,14.1,13.03,13.38,25702,1,10042100,0.08427876823338742
14,1585094400,13.19,15.17,12.9,14.87,28343,1,8551300,0.11136023916292959
15,1585180800,14.77,15.98,14.48,15.98,32982,1,9862300,0.07464694014794904
16,1585267200,14.99,15.14,14.46,14.51,30587,1,10776100,-0.0919899874843555
17,1585526400,14.59,14.73,13.67,14.14,29965,1,8642500,-0.02549965541006194
18,1585612800,14.19,14.34,13.83,13.93,21455,1,7307600,-0.014851485148514865
19,1585699200,13.32,13.4,12.57,12.59,36343,1,11017300,-0.09619526202440776
20,1585785600,13.02,13.45,12.63,12.88,26912,1,8733600,0.023034154090548098
21,1585872000,12.97,13.08,12.15,12.44,30427,1,7251200,-0.034161490683229934
22,1586131200,13.02,14.78,13.02,14.28,30333,1,9801100,0.14790996784565924
23,1586217600,15.87,17.12,15.87,16.41,47543,1,15410200,0.14915966386554635
24,1586304000,16.84,17.44,16.52,17.15,33101,1,9681500,0.04509445460085315
25,1586390400,17.31,18.39,17.1,17.44,36825,1,14386900,0.016909620991253815
26,1586736000,17.35,17.51,16.49,16.97,31778,1,8430600,-0.026949541284403855
27,1586822400,17.23,17.72,17.14,17.16,16763,1,5575200,0.011196228638774341
