,time,open,high,low,close,tick_volume,spread,real_volume,retorno
0,1583366400,28.37,28.56,26.11,26.71,15794,1,3406900,
1,1583452800,26.02,26.34,24.56,25.04,21119,1,4490300,-0.06252339947585184
2,1583712000,22.47,23.32,21.37,21.85,26352,1,5331400,-0.12739616613418525
3,1583798400,23.51,25.47,22.88,25.09,21979,1,4708000,0.14828375286041173
4,1583884800,24.16,24.97,20.67,21.72,20020,1,5224200,-0.1343164607413313
5,1583971200,17.3,18.58,13.98,16.48,19096,1,8121000,-0.24125230202578263
6,1584057600,19.79,20.17,16.49,19.74,23534,1,5955900,0.1978155339805825
7,1584316800,16.21,18.92,16.21,16.96,25239,1,4966800,-0.1408308004052684
8,1584403200,17.47,18.65,16.66,17.06,16111,1,3719400,0.00589622641509413
9,1584489600,16.08,16.18,11.79,12.88,36006,1,8369900,-0.24501758499413828
10,1584576000,11.99,13.45,11.49,12.53,26369,1,7157400,-0.02717391304347838
11,1584662400,13.49,14.4,11.24,11.78,24638,1,6629400,-0.059856344772545866
12,1584921600,11.88,11.98,9.99,10.06,26927,1,7001000,-0.14601018675721555
13,1585008000,11.09,12.1,10.69,11.39,14495,1,4578300,0.13220675944334004
14,1585094400,11.29,15.31,11.29,15.0,25889,1,7867900,0.3169446883230904
15,1585180800,14.69,19.32,14.57,19.21,36055,1,11145100,0.2806666666666666
16,1585267200,17.98,18.87,16.98,17.7,20504,1,7061700,-0.07860489328474762
17,1585526400,18.36,19.12,17.03,17.68,13240,1,3628900,-0.001129943502824804
18,1585612800,17.78,18.23,17.04,17.2,12922,1,3383000,-0.02714932126696834
19,1585699200,16.13,16.87,15.66,16.25,14559,1,3366400,-0.05523255813953487
20,1585785600,16.73,17.81,16.2,16.85,14161,1,3623300,0.03692307692307706
21,1585872000,16.78,17.44,15.46,15.6,14361,1,3435100,-0.07418397626112772
22,1586131200,16.7,16.74,15.86,16.54,15351,1,3175300,0.060256410256410264
23,1586217600,17.63,18.12,16.38,16.7,14745,1,3672500,0.0096735187424426
24,1586304000,16.69,16.93,15.94,16.49,14803,1,3754500,-0.012574850299401197
25,1586390400,16.84,17.13,15.93,16.27,13941,1,3526700,-0.013341419041843494
26,1586736000,16.27,16.85,16.08,16.79,8360,1,2153400,0.03196066379840201
27,1586822400,17.28,21.67,17.28,21.6,47958,1,15573800,0.2864800476474094
28,1586908800,20.43,22.17,20.03,21.4,27745,1,8384100,-0.009259259259259411
29,1586995200,21.87,23.38,21.49,21.57,28699,1,7959100,0.007943925233644844
30,1587081600,22.48,23.06,20.88,20.97,19021,1,5468900,-0.02781641168289295
31,1587340800,20.45,21.76,20.15,20.86,21084,1,5008400,-0.005245588936576007
32,1587513600,21.07,21.47,20.65,20.73,13306,1,3098800,-0.0062320230105464836
33,1587600000,21.12,21.7,20.48,20.66,15600,1,3807700,-0.0033767486734201935
34,1587686400,20.33,20.37,17.09,18.91,26949,1,6634100,-0.08470474346563406
35,1587945600,19.77,21.56,19.43,21.46,20704,1,6119200,0.13484928609201474
36,1588032000,22.35,22.72,21.76,22.31,17985,1,5833300,0.03960857409133256
37,1588118400,22.77,22.87,21.82,21.92,14784,1,3407800,-0.017480950246526072
38,1588204800,21.22,21.79,20.89,21.11,11218,1,2704600,-0.036952554744525634
39,1588550400,20.47,21.2,20.18,21.07,10047,1,1933300,-0.001894836570345726
40,1588636800,21.47,21.79,20.42,20.65,8452,1,2027600,-0.019933554817275878
41,1588723200,21.1,21.23,19.99,20.07,15388,1,3887400,-0.028087167070217856
42,1588809600,20.41,20.99,20.17,20.41,19030,1,4004800,0.016940707523667164
43,1588896000,20.97,21.14,20.26,20.35,9162,1,2203800,-0.0029397354238117623
44,1589155200,20.22,22.63,19.38,22.05,25140,1,7863100,0.08353808353808345
45,1589241600,22.46,22.81,20.44,20.44,21205,1,5805000,-0.07301587301587298
