,time,open,high,low,close,tick_volume,spread,real_volume,retorno
0,1583280000,16.06,16.16,15.49,15.82,19292,1,6429300,
1,1583366400,15.57,15.64,14.57,14.67,22497,1,7348500,-0.072692793931732
2,1583452800,13.81,14.25,13.59,13.78,43653,1,10722800,-0.06066802999318344
3,1583712000,12.86,12.98,11.95,12.14,53809,1,15967000,-0.11901306240928877
4,1583798400,12.59,14.45,12.59,14.24,47110,1,19648800,0.17298187808896204
5,1583884800,13.43,13.92,12.51,13.49,42760,1,14282000,-0.0526685393258427
6,1583971200,11.95,12.98,11.25,11.35,25883,1,13856300,-0.1586360266864344
7,1584057600,12.67,13.93,11.48,13.86,49671,1,19933200,0.22114537444933924
8,1584316800,11.95,12.35,11.3,11.38,49535,1,12841700,-0.17893217893217883
9,1584403200,11.52,12.61,10.94,11.52,41294,1,13175800,0.012302284710017375
10,1584489600,10.28,10.66,9.59,10.21,55167,1,13711900,-0.11371527777777768
11,1584576000,9.85,10.57,9.01,10.06,55537,1,20539500,-0.014691478942213565
12,1584662400,10.52,10.9,9.56,9.9,77762,1,20568900,-0.015904572564612307
13,1584921600,9.85,9.92,8.66,9.48,42882,1,11631500,-0.042424242424242364
14,1585008000,10.05,11.75,10.05,11.36,38845,1,16542500,0.19831223628691963
15,1585094400,11.29,13.1,10.88,12.62,45255,1,12408800,0.1109154929577465
16,1585180800,12.83,13.73,12.53,13.21,59183,1,14244700,0.04675118858954064
17,1585267200,12.57,12.76,11.85,12.17,32978,1,12378400,-0.07872823618470859
18,1585526400,12.17,12.46,11.63,11.75,26364,1,10879500,-0.03451109285127363
19,1585612800,11.65,11.9,11.13,11.21,31446,1,9090800,-0.04595744680851055
20,1585699200,10.76,11.51,10.61,11.12,26364,1,8811000,-0.008028545941124121
21,1585785600,11.11,11.42,10.58,10.94,32309,1,7057200,-0.01618705035971224
22,1585872000,10.8,10.81,9.96,10.75,28693,1,10421100,-0.017367458866544783
23,1586131200,11.31,12.01,11.11,11.51,24239,1,7909600,0.07069767441860453
24,1586217600,12.31,12.4,11.52,11.6,26588,1,7565100,0.007819287576020795
25,1586304000,11.53,12.26,11.32,11.85,21619,1,5703400,0.02155172413793105
26,1586390400,11.95,12.73,11.7,12.25,45807,1,9435600,0.03375527426160341
27,1586736000,12.18,12.43,11.75,12.23,12995,1,3366700,-0.0016326530612245094
28,1586822400,12.39,12.84,12.26,12.64,17758,1,7793800,0.03352412101390034
29,1586908800,12.47,12.87,12.28,12.5,19710,1,5170100,-0.011075949367088667
30,1586995200,12.53,12.64,11.81,12.0,25322,1,6344900,-0.040000000000000036
31,1587081600,12.24,12.64,12.04,12.42,26704,1,9671400,0.03499999999999992
32,1587340800,12.14,13.02,12.1,12.86,22935,1,6024400,0.03542673107890493
33,1587513600,12.82,13.51,12.72,13.01,37917,1,11812400,0.011664074650077794
34,1587600000,13.09,13.36,12.37,12.81,34722,1,9814100,-0.01537279016141424
35,1587686400,12.35,12.39,10.97,11.78,52643,1,16186100,-0.08040593286494935
36,1587945600,12.06,12.33,11.77,12.05,21491,1,8240300,0.022920203735144362
37,1588032000,12.45,12.8,12.25,12.57,21699,1,8626600,0.043153526970954426
38,1588118400,12.65,13.06,12.48,12.8,21034,1,6713200,0.01829753381066035
39,1588204800,12.61,12.78,12.01,12.09,21933,1,6738900,-0.05546875000000007
40,1588550400,11.43,12.03,11.42,11.92,23052,1,8338300,-0.014061207609594728
41,1588636800,12.09,12.45,12.0,12.23,17742,1,6755500,0.026006711409396033
42,1588723200,12.22,12.35,11.98,12.03,19662,1,7517300,-0.01635322976287823
43,1588809600,12.04,12.13,11.18,11.18,39336,1,11205200,-0.07065669160432253
44,1588896000,11.46,11.74,11.0,11.18,26086,1,8817800,0.0
45,1589155200,11.19,11.48,10.81,11.0,20210,1,6965900,-0.01610017889087656
46,1589241600,11.03,11.56,10.76,10.76,26258,1,11871000,-0.021818181818181848
47,1589328000,10.9,11.1,10.61,10.68,29206,1,11748500,-0.0074349442379182396
48,1589414400,10.57,11.22,10.38,11.22,30150,1,11408200,0.050561797752809
49,1589500800,11.16,11.36,10.74,10.74,26592,1,9689500,-0.042780748663101664
50,1589760000,11.21,11.67,11.08,11.58,34243,1,9232600,0.07821229050279332
51,1589846400,11.58,12.46,11.52,11.86,28864,1,10678700,0.024179620034542326
52,1589932800,12.09,12.65,11.95,12.43,24070,1,13832700,0.048060708263069074
53,1590019200,12.44,14.02,12.34,13.88,36076,1,27274100,0.11665325824617878
54,1590105600,13.73,13.81,13.18,13.18,26486,1,10927700,-0.050432276657060626
55,1590364800,13.61,14.33,13.61,14.0,17414,1,7082600,0.06221547799696503
56,1590451200,14.63,15.76,14.21,14.38,36585,1,15600900,0.027142857142857135
57,1590537600,14.77,14.77,14.18,14.39,26023,1,10200400,0.0006954102920722072
58,1590624000,14.21,14.87,14.03,14.47,21861,1,9985800,0.005559416261292638
59,1590710400,14.44,14.68,14.17,14.39,28011,1,11909500,-0.005528680027643396
60,1590969600,14.19,14.43,13.98,14.28,19001,1,6993400,-0.007644197359277349
61,1591056000,14.32,14.63,14.11,14.19,23447,1,6223600,-0.006302521008403339
62,1591142400,14.49,15.42,14.37,14.83,29972,1,10047000,0.0451021846370685
63,1591228800,14.83,15.28,14.2,14.38,22634,1,9034800,-0.030343897505057282
64,1591315200,14.93,14.96,14.29,14.29,35488,1,15307700,-0.006258692628650975
65,1591574400,14.53,14.96,14.48,14.62,20561,1,6913200,0.02309307207837641
66,1591660800,14.36,14.59,14.05,14.17,23154,1,7879600,-0.03077975376196984
67,1591747200,14.36,14.48,13.56,14.04,41420,1,16407500,-0.00917431192660556
68,1591920000,13.53,14.06,13.26,14.05,33751,1,10626200,0.0007122507122507837
69,1592179200,13.68,14.09,13.42,13.92,21649,1,6795200,-0.009252669039146011
70,1592265600,14.22,14.48,13.61,13.68,24805,1,9408700,-0.017241379310344862
71,1592352000,13.81,14.03,13.48,13.76,30960,1,12706300,0.005847953216374213
72,1592438400,13.54,14.46,13.54,14.3,20073,1,14196500,0.03924418604651159
73,1592524800,14.56,15.08,14.53,14.68,33540,1,18031200,0.02657342657342654
74,1592784000,14.88,14.99,14.28,14.38,17465,1,6291200,-0.02043596730245223
75,1592870400,14.72,14.78,14.22,14.34,16595,1,4794700,-0.002781641168289384
76,1592956800,14.27,14.35,13.81,14.09,17150,1,5650700,-0.017433751743375137
77,1593043200,14.19,15.44,14.05,15.37,33867,1,15256500,0.09084457061745921
78,1593129600,15.25,15.33,14.47,14.48,22938,1,10091800,-0.057905009759271264
79,1593388800,14.68,14.73,14.15,14.39,14927,1,5237200,-0.006215469613259694
80,1593475200,14.42,14.8,14.1,14.19,18110,1,6964100,-0.013898540653231484
