,time,open,high,low,close,tick_volume,spread,real_volume,retorno
0,1583366400,7.14,7.14,6.61,6.6899999999999995,25478,1,16359700,
1,1583452800,6.55,6.61,6.28,6.38,31758,1,21518800,-0.046337817638266054
2,1583712000,5.76,6.19,5.76,5.86,48648,1,19304900,-0.08150470219435735
3,1583798400,6.22,6.28,5.8100000000000005,6.17,30800,1,22193300,0.05290102389078499
4,1583884800,6.01,6.06,5.38,5.79,30850,1,19337700,-0.06158833063209079
5,1583971200,5.35,5.39,4.53,4.5600000000000005,25267,1,19417700,-0.21243523316062163
6,1584057600,5.09,5.52,4.72,5.52,39600,1,22359400,0.21052631578947345
7,1584316800,4.86,5.22,4.59,4.86,43354,1,19313200,-0.11956521739130421
8,1584403200,5.01,5.53,4.97,5.31,32439,1,20759600,0.09259259259259234
9,1584489600,4.99,5.32,4.73,4.95,51933,1,22499700,-0.06779661016949146
10,1584576000,4.88,4.9,4.4,4.52,46244,1,32150200,-0.08686868686868698
11,1584662400,4.7,4.89,4.19,4.31,37669,1,37686800,-0.04646017699115046
12,1584921600,4.33,4.41,3.86,4.03,34621,1,25946500,-0.06496519721577709
13,1585008000,4.23,4.33,3.94,3.94,22699,1,26057700,-0.022332506203474045
14,1585094400,3.98,4.86,3.96,4.86,28561,1,24660200,0.23350253807106602
15,1585180800,4.76,5.06,4.58,4.86,32956,1,19809600,0.0
16,1585267200,4.53,4.76,4.48,4.48,23463,1,16656000,-0.07818930041152261
17,1585526400,4.52,4.66,4.35,4.63,16607,1,13180500,0.033482142857142794
18,1585612800,4.66,4.76,4.25,4.32,16688,1,13159600,-0.06695464362850967
19,1585699200,4.17,4.33,3.9699999999999998,4.16,28962,1,15695700,-0.03703703703703709
20,1585785600,4.24,4.26,4.05,4.12,20710,1,10830400,-0.009615384615384581
21,1585872000,4.11,4.12,3.83,3.87,21068,1,11236900,-0.06067961165048541
22,1586131200,4.1,4.15,3.87,3.94,21303,1,14873000,0.018087855297157507
23,1586217600,4.09,4.32,4.0,4.0,26487,1,18207900,0.015228426395939021
24,1586304000,4.03,4.89,4.0,4.88,29793,1,30681000,0.21999999999999997
25,1586390400,4.96,4.98,4.48,4.7,38539,1,27002100,-0.03688524590163933
26,1586736000,4.6899999999999995,4.89,4.53,4.82,15439,1,10795300,0.025531914893617058
27,1586822400,4.93,5.05,4.7,4.7,23127,1,20040300,-0.024896265560165998
