,time,open,high,low,close,tick_volume,spread,real_volume,retorno
0,1583366400,11.74,11.94,11.18,11.46,25500,1,14252500,
1,1583452800,10.84,10.95,10.41,10.65,24179,1,14824200,-0.0706806282722513
2,1583712000,9.49,9.63,7.58,7.96,45924,1,29568100,-0.2525821596244132
3,1583798400,8.82,8.98,7.87,8.98,34940,1,32008100,0.1281407035175881
4,1583884800,8.57,8.79,7.19,7.6899999999999995,38662,1,25647300,-0.14365256124721615
5,1583971200,6.15,6.7,5.33,6.31,31066,1,19780200,-0.1794538361508452
6,1584057600,7.34,7.65,6.33,7.62,35962,1,20500700,0.20760697305863718
7,1584316800,6.52,7.31,6.36,6.9,39105,1,16815000,-0.0944881889763779
8,1584403200,7.14,7.61,6.77,7.43,38867,1,21859700,0.0768115942028984
9,1584489600,6.75,7.05,6.08,6.43,30741,1,16493800,-0.13458950201884257
10,1584576000,6.14,6.62,5.8100000000000005,6.1,37036,1,19046300,-0.051321928460342114
11,1584662400,6.52,6.57,5.88,5.91,38742,1,23500300,-0.031147540983606503
12,1584921600,5.88,6.01,5.25,5.5600000000000005,29043,1,21511000,-0.05922165820642977
13,1585008000,5.95,6.14,5.5600000000000005,5.5600000000000005,27135,1,24285500,0.0
14,1585094400,5.65,6.42,5.63,6.28,27110,1,25960100,0.1294964028776977
15,1585180800,6.31,7.09,6.31,6.8100000000000005,23472,1,14875600,0.08439490445859876
16,1585267200,6.47,6.71,6.33,6.49,17218,1,12151900,-0.0469897209985316
17,1585526400,6.5600000000000005,6.87,6.27,6.77,21648,1,14208200,0.04314329738058542
18,1585612800,6.77,7.14,6.68,6.6899999999999995,20797,1,16413100,-0.011816838995568735
19,1585699200,6.36,6.65,6.26,6.5600000000000005,15008,1,9273600,-0.01943198804185342
20,1585785600,6.6899999999999995,7.02,6.5600000000000005,6.68,15839,1,11113700,0.018292682926829062
21,1585872000,6.71,6.75,5.88,5.99,25026,1,15925200,-0.10329341317365259
22,1586131200,6.41,6.49,6.18,6.28,13061,1,10128200,0.048414023372287174
23,1586217600,6.64,6.9,6.59,6.66,25703,1,16865900,0.060509554140127264
24,1586304000,6.71,7.19,6.61,7.11,13734,1,11857000,0.06756756756756754
25,1586390400,7.29,7.43,6.87,6.88,16508,1,10667500,-0.03234880450070332
26,1586736000,6.8100000000000005,7.03,6.66,7.03,15051,1,11620900,0.0218023255813955
27,1586822400,7.21,7.33,7.12,7.13,15100,1,9781500,0.014224751066856278
28,1586908800,6.9,7.1,6.83,6.99,15301,1,10304100,-0.019635343618513268
29,1586995200,7.12,7.14,6.6899999999999995,7.13,20133,1,12700200,0.02002861230329045
30,1587081600,7.24,7.38,7.12,7.28,16266,1,11387000,0.02103786816269282
31,1587340800,7.07,7.19,6.9399999999999995,7.02,14289,1,8396700,-0.03571428571428581
32,1587513600,7.05,7.15,6.93,7.04,12396,1,7483100,0.002849002849002913
33,1587600000,7.05,7.73,7.04,7.19,26746,1,18077500,0.02130681818181812
34,1587686400,7.09,7.35,6.39,6.79,36668,1,20337900,-0.0556328233657859
35,1587945600,6.96,6.99,6.66,6.95,16596,1,13673800,0.02356406480117812
36,1588032000,7.19,7.67,7.14,7.49,27987,1,18949200,0.07769784172661875
37,1588118400,7.73,8.89,7.68,8.66,43628,1,34309000,0.1562082777036049
38,1588204800,8.29,8.62,8.06,8.59,27052,1,25213200,-0.008083140877598205
39,1588550400,8.23,8.23,7.76,7.89,36111,1,17494300,-0.0814901047729919
40,1588636800,8.05,8.23,7.62,7.63,17944,1,13470300,-0.03295310519645123
41,1588723200,7.6899999999999995,7.93,7.51,7.77,17641,1,12043500,0.0183486238532109
42,1588809600,7.93,8.3,7.78,8.15,32952,1,22367300,0.048906048906049104
43,1588896000,8.39,8.51,8.06,8.17,23250,1,14155400,0.0024539877300613355
44,1589155200,8.06,8.13,7.7,7.7,17096,1,11553000,-0.057527539779681724
45,1589241600,7.82,7.85,7.5600000000000005,7.5600000000000005,18582,1,11444900,-0.018181818181818188
46,1589328000,7.6899999999999995,7.74,7.12,7.22,22977,1,12850400,-0.04497354497354511
47,1589414400,7.18,8.05,7.03,8.05,38784,1,27708000,0.11495844875346273
48,1589500800,7.78,7.98,7.49,7.5600000000000005,30599,1,22173500,-0.060869565217391286
49,1589760000,7.99,8.04,7.82,7.95,22415,1,13049000,0.051587301587301626
50,1589846400,7.97,8.56,7.95,8.39,21666,1,17011600,0.05534591194968552
51,1589932800,8.56,8.59,8.17,8.23,23187,1,13442600,-0.019070321811680557
52,1590019200,8.27,8.41,7.9,8.18,18927,1,14195900,-0.0060753341433780195
53,1590105600,8.02,8.25,7.86,8.16,10331,1,7836600,-0.0024449877750610804
54,1590364800,8.41,8.63,8.26,8.29,13660,1,9989700,0.01593137254901955
55,1590451200,8.43,8.57,8.12,8.19,17541,1,11533100,-0.012062726176115812
56,1590537600,8.39,9.16,8.32,9.07,23884,1,20190900,0.10744810744810751
57,1590624000,9.12,9.43,8.84,9.23,20738,1,14018900,0.01764057331863289
58,1590710400,9.41,10.26,9.35,9.91,54519,1,40306800,0.0736728060671723
59,1590969600,10.13,10.36,9.8,9.94,22616,1,13315200,0.003027245206861595
60,1591056000,10.03,10.32,9.95,10.32,19260,1,13067100,0.03822937625754541
61,1591142400,10.53,10.81,10.05,10.18,26655,1,15013500,-0.013565891472868241
62,1591228800,10.03,10.21,9.79,10.07,18727,1,11834600,-0.01080550098231825
63,1591315200,10.66,10.75,10.06,10.2,29711,1,18574100,0.012909632571995955
64,1591574400,10.6,11.96,10.59,11.95,37099,1,30894500,0.17156862745098045
65,1591660800,11.59,11.63,11.14,11.57,35244,1,18962100,-0.03179916317991627
66,1591747200,11.54,11.82,10.98,11.02,24949,1,13247800,-0.04753673292999139
67,1591920000,10.46,10.74,10.23,10.43,27542,1,12908100,-0.05353901996370236
68,1592179200,9.93,10.33,9.83,10.19,22331,1,11439100,-0.0230105465004794
69,1592265600,10.74,11.1,10.46,10.85,22938,1,14612100,0.06476938174681068
70,1592352000,10.86,10.99,10.62,10.71,18747,1,9503000,-0.012903225806451535
71,1592438400,10.66,11.18,10.51,11.18,16870,1,11693900,0.043884220354808434
72,1592524800,11.38,11.42,10.76,10.76,21338,1,16045000,-0.03756708407871201
73,1592784000,10.7,10.82,10.53,10.67,11402,1,8301500,-0.008364312267657992
74,1592870400,10.84,11.17,10.79,10.92,16277,1,9121700,0.023430178069353325
75,1592956800,10.99,10.99,10.57,10.64,12366,1,7303500,-0.02564102564102555
76,1593043200,10.66,10.73,10.47,10.68,14268,1,8223600,0.003759398496240518
77,1593129600,10.61,10.82,10.2,10.28,14629,1,7162900,-0.03745318352059923
78,1593388800,10.3,10.44,10.08,10.13,13285,1,10252000,-0.01459143968871579
79,1593475200,10.07,10.43,9.96,10.25,16953,1,9910200,0.011846001974333609
80,1593561600,10.33,10.43,10.06,10.17,15203,1,12026600,-0.007804878048780495
81,1593648000,10.37,10.63,10.29,10.43,16863,1,11266200,0.02556538839724687
82,1593734400,10.53,10.53,10.16,10.28,9436,1,6070600,-0.014381591562799612
83,1593993600,10.48,10.88,10.42,10.75,16499,1,9878700,0.04571984435797671
84,1594080000,10.7,10.87,10.47,10.5,14240,1,7833600,-0.023255813953488413
85,1594166400,10.72,11.01,10.64,10.91,15199,1,9788300,0.039047619047619
86,1594252800,10.99,11.05,10.58,10.64,14609,1,9586900,-0.024747937671860676
87,1594339200,10.66,10.78,10.61,10.78,7734,1,5840700,0.013157894736842035
88,1594598400,11.04,11.78,11.04,11.2,34177,1,23563600,0.03896103896103886
89,1594684800,11.32,11.7,10.97,11.7,22125,1,16286900,0.044642857142857206
90,1594771200,11.79,11.87,11.25,11.45,26069,1,18864600,-0.021367521367521403
91,1594857600,11.34,11.44,11.13,11.22,12264,1,8221500,-0.0200873362445414
92,1594944000,11.39,11.57,11.24,11.42,20624,1,11380200,0.017825311942959
93,1595203200,11.42,11.45,11.31,11.39,11054,1,7103100,-0.0026269702276706663
94,1595289600,11.45,11.53,11.07,11.19,16865,1,11252800,-0.017559262510974616
95,1595376000,11.2,11.38,11.11,11.34,11497,1,6923300,0.013404825737265424
96,1595462400,11.3,11.49,11.1,11.18,9565,1,7493200,-0.014109347442680775
97,1595548800,11.05,11.25,10.87,11.15,10722,1,5390600,-0.0026833631484793896
98,1595808000,11.18,11.85,11.1,11.75,25714,1,19178000,0.053811659192825045
99,1595894400,11.65,11.94,11.53,11.81,18243,1,10677800,0.005106382978723456
100,1595980800,12.27,13.03,12.26,12.48,36791,1,31038600,0.05673158340389506
101,1596067200,12.19,12.72,12.14,12.27,20531,1,13940500,-0.016826923076923128
102,1596153600,12.34,12.42,11.66,11.76,25004,1,14724900,-0.041564792176039145
103,1596412800,12.03,12.7,11.96,12.5,37883,1,20541900,0.06292517006802734
104,1596499200,12.39,12.48,11.87,12.25,19503,1,10436100,-0.020000000000000018
105,1596585600,12.48,12.85,12.41,12.59,26574,1,14845100,0.027755102040816215
106,1596672000,12.7,12.94,12.52,12.59,41038,1,14694800,0.0
107,1596758400,12.36,12.69,12.25,12.43,24113,1,14854600,-0.012708498808578272
108,1597017600,12.6,13.52,12.54,13.41,41633,1,26532200,0.07884151246983118
109,1597104000,13.48,13.58,13.21,13.36,25878,1,14660200,-0.0037285607755407346
110,1597190400,13.44,13.56,13.04,13.26,21929,1,10444700,-0.007485029940119681
111,1597276800,13.22,13.36,13.01,13.14,15813,1,7478200,-0.009049773755656076
112,1597363200,13.14,13.27,12.86,13.13,14711,1,6558200,-0.0007610350076103778
113,1597622400,13.08,13.48,13.07,13.38,22958,1,10931700,0.01904036557501909
114,1597708800,13.73,14.4,13.73,14.23,35297,1,25943200,0.06352765321375187
115,1597795200,14.31,14.66,14.23,14.29,27205,1,13819000,0.0042164441321150825
116,1597881600,13.96,14.43,13.87,14.22,21976,1,11947300,-0.004898530440867632
117,1597968000,14.13,14.19,13.64,13.9,22251,1,11554300,-0.02250351617440227
118,1598227200,13.98,14.21,13.88,13.97,15387,1,7179400,0.005035971223021685
119,1598313600,14.01,14.37,13.64,14.25,20636,1,17163800,0.02004294917680749
120,1598400000,14.46,14.55,13.83,14.03,22764,1,11411500,-0.01543859649122814
121,1598486400,14.06,14.49,13.92,14.35,21032,1,11805900,0.02280826799714908
122,1598572800,14.46,14.75,14.22,14.64,25785,1,12281300,0.020209059233449622
123,1598832000,14.39,15.14,14.3,14.6,29481,1,18407900,-0.002732240437158584
124,1598918400,14.8,15.01,14.68,14.85,25613,1,9437000,0.017123287671232834
125,1599004800,14.88,15.2,14.26,14.65,29160,1,19352500,-0.013468013468013407
126,1599091200,14.54,14.82,14.26,14.43,28105,1,13708600,-0.015017064846416406
