,time,open,high,low,close,tick_volume,spread,real_volume,retorno
0,1583366400,28.55,28.64,25.7,26.52,16939,1,4097400,
1,1583452800,25.33,25.73,24.03,25.01,38736,1,9556300,-0.05693815987933626
2,1583712000,22.08,22.8,20.7,20.84,42495,1,8969200,-0.1667333066773291
3,1583798400,22.04,22.76,21.21,22.69,39455,1,10122700,0.0887715930902111
4,1583884800,22.26,22.26,19.08,21.9,29185,1,6603800,-0.03481710004407235
5,1583971200,18.03,18.3,15.18,16.5,24700,1,7773200,-0.2465753424657534
6,1584057600,19.92,20.28,16.48,18.97,37078,1,11008800,0.14969696969696966
7,1584316800,16.5,16.5,14.85,15.38,42017,1,10823000,-0.18924617817606737
8,1584403200,16.21,16.45,14.89,15.19,43584,1,9440800,-0.012353706111833618
9,1584489600,13.68,13.99,10.1,12.05,39208,1,11825600,-0.20671494404213286
10,1584576000,11.31,14.15,10.19,13.25,45126,1,15109900,0.09958506224066377
11,1584662400,14.01,14.78,12.62,12.77,55481,1,16266800,-0.03622641509433966
12,1584921600,12.89,13.57,11.27,11.68,25013,1,9174700,-0.08535630383711823
13,1585008000,12.48,14.11,12.48,13.79,35276,1,9261900,0.18065068493150682
14,1585094400,13.79,15.74,13.24,14.94,38466,1,11000800,0.08339376359680939
15,1585180800,14.83,16.65,14.66,16.43,41941,1,10004500,0.0997322623828647
16,1585267200,15.41,15.78,14.49,14.49,32691,1,9742200,-0.1180766889835666
17,1585526400,14.82,15.03,13.77,14.15,30821,1,5982800,-0.02346445824706689
18,1585612800,14.04,14.04,12.74,12.74,31686,1,8725700,-0.09964664310954063
19,1585699200,11.86,12.02,11.36,11.68,58645,1,11927900,-0.08320251177394034
20,1585785600,11.82,11.87,11.0,11.22,41499,1,13198600,-0.039383561643835496
21,1585872000,11.29,11.56,10.76,11.51,36169,1,12807700,0.025846702317290582
22,1586131200,12.38,12.57,11.64,11.9,31058,1,9986300,0.03388357949609033
23,1586217600,12.8,13.17,12.2,12.44,28583,1,6892400,0.04537815126050404
24,1586304000,12.49,13.03,11.95,12.93,25507,1,8165400,0.03938906752411575
25,1586390400,13.14,14.06,12.84,13.16,34249,1,10498800,0.017788089713843824
26,1586736000,13.13,13.37,12.6,12.87,33495,1,10843900,-0.02203647416413379
27,1586822400,13.17,13.57,12.73,13.01,24519,1,6142300,0.01087801087801088
28,1586908800,12.63,13.13,12.39,12.82,35512,1,8450500,-0.014604150653343528
29,1586995200,12.94,13.3,12.62,12.66,21019,1,7871400,-0.012480499219968855
30,1587081600,12.98,13.48,12.66,12.93,20910,1,6702600,0.021327014218009532
31,1587340800,12.71,14.08,12.64,14.08,26650,1,10901200,0.0889404485692189
32,1587513600,14.51,14.86,13.98,14.47,38966,1,10649800,0.027698863636363757
33,1587600000,14.65,15.08,13.94,14.42,30844,1,7836100,-0.003455425017277136
34,1587686400,14.04,14.04,12.0,12.63,50231,1,17207000,-0.12413314840499301
35,1587945600,12.96,13.18,12.18,12.84,45976,1,17556900,0.016627078384797933
36,1588032000,13.3,14.5,13.02,14.48,36320,1,13069400,0.12772585669781944
37,1588118400,14.71,15.43,14.5,15.4,30746,1,10784500,0.06353591160220984
38,1588204800,14.92,15.22,14.14,14.34,27357,1,8587900,-0.06883116883116891
39,1588550400,13.79,13.8,13.18,13.37,32688,1,8619300,-0.06764295676429577
40,1588636800,13.65,13.95,13.33,13.39,21025,1,6231500,0.0014958863126404154
41,1588723200,13.48,13.66,12.93,12.93,24581,1,6628000,-0.03435399551904417
42,1588809600,13.16,13.16,12.02,12.02,33414,1,8133000,-0.0703789636504254
43,1588896000,12.26,12.43,11.88,12.26,28070,1,8106000,0.019966722129783676
44,1589155200,12.14,12.3,11.78,11.89,30046,1,6248200,-0.030179445350734024
45,1589241600,11.97,12.25,11.73,11.77,36642,1,10013600,-0.010092514718250678
46,1589328000,11.86,11.87,10.88,11.35,51980,1,17468100,-0.035683942225998244
47,1589414400,11.0,12.29,10.93,12.29,36283,1,12153400,0.08281938325991178
48,1589500800,12.07,12.32,11.31,11.4,40660,1,13832500,-0.07241659886086238
49,1589760000,11.8,12.33,11.65,12.2,27037,1,8016600,0.07017543859649122
50,1589846400,12.2,12.62,11.94,12.07,28937,1,8673900,-0.0106557377049179
51,1589932800,12.16,12.91,12.11,12.62,29922,1,9541300,0.045567522783761305
52,1590019200,12.71,14.03,12.71,14.01,50074,1,14710700,0.11014263074484942
53,1590105600,13.79,13.85,13.38,13.41,33265,1,8514500,-0.04282655246252676
54,1590364800,14.15,15.14,13.99,15.08,27889,1,10221600,0.12453392990305745
55,1590451200,15.41,15.63,14.48,14.56,36347,1,11371400,-0.03448275862068961
