,time,open,high,low,close,tick_volume,spread,real_volume,retorno
0,1583366400,17.12,17.21,16.05,16.67,21694,1,10688900,
1,1583452800,15.7,15.85,15.0,15.44,38240,1,21471100,-0.07378524295140987
2,1583712000,14.11,14.18,12.55,12.67,49212,1,21125100,-0.17940414507772018
3,1583798400,13.59,13.72,12.59,13.71,43621,1,24847600,0.08208366219415941
4,1583884800,13.2,13.33,11.2,12.13,60411,1,25611000,-0.11524434719183074
5,1583971200,10.44,10.65,8.95,10.14,52633,1,34133900,-0.1640560593569662
6,1584057600,11.47,12.19,9.85,11.9,56823,1,30931000,0.17357001972386588
7,1584316800,10.14,11.09,9.7,10.22,54748,1,20208100,-0.14117647058823524
8,1584403200,10.62,11.0,9.76,10.35,48976,1,23229900,0.012720156555772855
9,1584489600,9.56,9.8,8.3,9.09,40080,1,18827300,-0.12173913043478257
10,1584576000,8.41,9.96,7.8,9.17,64294,1,27474900,0.008800880088008833
11,1584662400,9.69,9.82,8.45,8.85,57556,1,23203000,-0.034896401308615044
12,1584921600,8.85,9.0,8.09,8.26,44102,1,19853400,-0.06666666666666665
13,1585008000,8.85,9.3,8.67,9.1,32595,1,21945000,0.10169491525423724
14,1585094400,9.12,10.25,9.07,10.06,40988,1,16374300,0.10549450549450556
15,1585180800,10.09,11.05,9.91,10.45,45955,1,17565000,0.03876739562624243
16,1585267200,9.79,10.26,9.64,9.66,26705,1,12926500,-0.07559808612440189
17,1585526400,9.81,9.99,9.2,9.35,25662,1,14605200,-0.03209109730848869
18,1585612800,9.48,10.24,9.48,9.61,38645,1,30035500,0.027807486631016065
19,1585699200,9.44,9.59,8.98,9.15,37486,1,25906800,-0.047866805411030056
20,1585785600,9.47,9.85,9.18,9.6,34383,1,16835200,0.04918032786885229
21,1585872000,9.65,9.68,8.76,8.92,31779,1,17122400,-0.0708333333333333
22,1586131200,9.37,9.73,9.07,9.28,27389,1,18901100,0.04035874439461873
23,1586217600,9.85,10.35,9.76,9.87,29934,1,17905500,0.06357758620689657
