,time,open,high,low,close,tick_volume,spread,real_volume,retorno
0,1583107200,11.69,11.95,11.62,11.94,41699,1,24101900,
1,1583193600,11.88,12.02,11.57,11.77,45934,1,31977700,-0.014237855946398703
2,1583280000,11.91,11.92,11.66,11.84,28308,1,17427300,0.005947323704333041
3,1583366400,11.81,11.84,11.33,11.48,38220,1,25415000,-0.030405405405405372
4,1583452800,11.21,11.39,11.08,11.22,51833,1,34473100,-0.022648083623693416
5,1583712000,10.62,10.67,10.4,10.51,75028,1,45278800,-0.06327985739750452
6,1583798400,10.99,11.23,10.46,10.73,61521,1,47328200,0.020932445290199775
7,1583884800,10.57,10.67,9.58,10.09,64355,1,44530500,-0.05964585274930112
8,1583971200,8.97,9.56,8.8,8.99,79636,1,51755000,-0.1090188305252725
9,1584057600,10.19,10.25,8.99,9.9,87972,1,57704800,0.10122358175750845
10,1584316800,8.88,9.5,8.83,8.83,85304,1,51187800,-0.10808080808080811
11,1584403200,9.08,9.7,8.8,9.26,84084,1,59249200,0.04869762174405423
12,1584489600,8.68,9.02,8.3,8.8,79642,1,56868300,-0.049676025917926414
13,1584576000,8.54,8.82,8.06,8.5,84138,1,61680500,-0.03409090909090917
14,1584662400,8.81,8.89,8.03,8.06,79069,1,53906600,-0.051764705882352935
15,1584921600,8.15,8.2,7.22,7.31,81774,1,50581600,-0.0930521091811416
16,1585008000,7.82,8.16,7.7,7.83,55060,1,43794000,0.07113543091655283
17,1585094400,7.82,8.66,7.77,8.35,83918,1,49200300,0.06641123882503197
18,1585180800,8.4,8.84,8.4,8.71,67743,1,41685800,0.04311377245509007
19,1585267200,8.35,8.58,8.25,8.25,42598,1,33594600,-0.05281285878300812
20,1585526400,8.31,8.61,8.22,8.56,32748,1,32332100,0.037575757575757596
21,1585612800,8.55,8.72,8.35,8.51,49161,1,47020300,-0.005841121495327228
22,1585699200,8.25,8.25,8.0,8.01,42331,1,34095400,-0.05875440658049358
23,1585785600,8.03,8.3,7.98,8.12,27467,1,22223500,0.013732833957553092
24,1585872000,8.05,8.05,7.67,7.87,51644,1,29046800,-0.030788177339901357
25,1586131200,8.27,8.57,8.25,8.45,35492,1,27089200,0.07369758576874186
26,1586217600,8.82,9.04,8.7,8.7,49779,1,42679200,0.029585798816567976
27,1586304000,8.76,9.18,8.67,9.04,31617,1,30242800,0.03908045977011487
28,1586390400,9.17,9.31,8.95,8.96,42045,1,23271900,-0.008849557522123686
29,1586736000,8.94,9.21,8.79,9.21,29200,1,17177300,0.02790178571428581
30,1586822400,9.36,9.59,9.27,9.31,32657,1,20996400,0.010857763300760048
31,1586908800,9.14,9.3,9.02,9.02,35709,1,25219700,-0.031149301825993625
32,1586995200,9.13,9.22,8.73,8.75,54443,1,31287100,-0.029933481152993324
33,1587081600,8.97,9.01,8.69,8.87,57305,1,24214900,0.013714285714285568
34,1587340800,8.69,8.83,8.63,8.7,36926,1,20413000,-0.01916572717023679
35,1587513600,8.73,8.88,8.61,8.69,44729,1,27469200,-0.0011494252873562871
36,1587600000,8.77,8.82,8.49,8.58,47666,1,32176000,-0.012658227848101222
37,1587686400,8.46,8.47,7.92,8.15,92594,1,58863100,-0.05011655011655003
38,1587945600,8.43,8.66,8.28,8.41,42896,1,28180500,0.031901840490797584
39,1588032000,8.83,9.07,8.78,9.0,40553,1,34501300,0.07015457788347201
