,time,open,high,low,close,tick_volume,spread,real_volume,retorno
0,1583107200,20.54,21.61,20.47,21.45,61262,1,20208600,
1,1583193600,21.44,22.43,20.72,20.78,47432,1,18340000,-0.031235431235431155
2,1583280000,21.47,21.71,20.62,21.71,40417,1,14206000,0.04475457170356112
3,1583366400,21.53,21.53,19.38,20.34,39796,1,17624200,-0.06310456011054821
4,1583452800,19.25,19.64,18.38,19.25,74446,1,25315300,-0.05358898721730576
5,1583712000,17.64,17.68,16.05,16.49,82796,1,25744800,-0.1433766233766235
6,1583798400,17.86,19.16,17.12,19.02,55975,1,22406900,0.15342631898120085
7,1583884800,18.09,18.63,15.92,17.39,56501,1,23101300,-0.08569926393270233
8,1583971200,13.28,17.37,12.5,15.34,38591,1,23179100,-0.11788384128809659
9,1584057600,17.86,19.28,16.06,19.12,84899,1,38237100,0.2464146023468059
10,1584316800,15.34,17.46,14.69,16.39,81321,1,28402400,-0.1427824267782427
11,1584403200,16.76,19.24,16.52,17.07,70740,1,35554200,0.04148871262965215
12,1584489600,15.99,16.27,14.66,15.44,76363,1,36324800,-0.09548916227299364
13,1584576000,15.11,19.13,14.01,18.32,79755,1,37119900,0.18652849740932642
14,1584662400,19.83,20.56,16.93,17.57,83238,1,30498900,-0.040938864628821015
15,1584921600,17.77,18.04,16.76,17.72,83950,1,25237300,0.008537279453614044
16,1585008000,19.42,20.21,18.82,19.44,48808,1,20932800,0.09706546275395045
17,1585094400,19.33,21.66,18.7,20.2,59852,1,21426700,0.039094650205761194
18,1585180800,21.16,22.59,19.16,20.03,84737,1,30922700,-0.008415841584158312
19,1585267200,19.24,20.39,18.71,19.14,44734,1,16436700,-0.04443334997503745
20,1585526400,19.05,20.34,18.89,19.76,44427,1,15894100,0.03239289446186011
21,1585612800,19.41,19.68,18.63,18.63,54215,1,21398400,-0.05718623481781393
22,1585699200,17.56,20.35,17.43,19.94,63148,1,22950600,0.07031669350509939
23,1585785600,20.14,20.15,19.15,19.15,50346,1,16672400,-0.039618856569709315
24,1585872000,19.42,19.51,17.3,18.69,54384,1,20219200,-0.02402088772845934
25,1586131200,19.42,20.22,19.09,19.32,36642,1,15497400,0.033707865168539186
26,1586217600,20.43,20.76,18.18,18.18,52966,1,24150900,-0.05900621118012428
27,1586304000,18.41,18.66,17.46,17.73,71418,1,23318500,-0.024752475247524663
