,time,open,high,low,close,tick_volume,spread,real_volume,retorno
0,1583280000,20.62,21.44,20.56,21.06,12163,1,2920500,
1,1583366400,20.97,20.97,19.3,19.75,10885,1,2609500,-0.06220322886989549
2,1583452800,18.92,19.08,18.39,18.67,24185,1,6092100,-0.054683544303797404
3,1583712000,16.87,17.55,16.0,16.14,25119,1,8170300,-0.13551151580074994
4,1583798400,17.48,18.05,16.72,17.86,22816,1,8300500,0.10656753407682773
5,1583884800,17.65,17.75,15.53,16.77,13946,1,3775200,-0.06103023516237405
6,1583971200,13.16,13.5,11.68,12.68,20964,1,7327600,-0.24388789505068575
7,1584057600,15.51,15.86,11.56,14.14,32770,1,13292500,0.11514195583596232
8,1584316800,11.18,12.69,11.02,11.4,24637,1,5392700,-0.1937765205091938
9,1584403200,11.7,11.96,10.55,10.82,24318,1,5527800,-0.05087719298245619
10,1584489600,9.88,10.0,7.21,8.07,31527,1,15073500,-0.2541589648798521
11,1584576000,7.46,9.11,6.83,9.02,29167,1,8857600,0.11771995043370498
12,1584662400,9.65,10.42,9.51,9.95,45113,1,13339900,0.10310421286031035
13,1584921600,9.85,10.01,8.4,8.62,27421,1,9461700,-0.1336683417085427
14,1585008000,9.27,9.89,8.94,9.13,28819,1,11483900,0.05916473317865445
15,1585094400,9.2,12.57,9.2,11.65,25728,1,14583400,0.27601314348302286
16,1585180800,11.88,14.31,11.8,12.79,31154,1,10354000,0.09785407725321882
17,1585267200,12.19,12.43,11.52,12.18,25000,1,8129500,-0.047693510555121166
18,1585526400,12.22,12.63,11.08,11.34,13050,1,4823900,-0.06896551724137934
19,1585612800,11.43,11.5,10.16,10.23,14637,1,7137500,-0.0978835978835978
20,1585699200,9.75,9.85,9.3,9.57,18757,1,6919500,-0.06451612903225812
21,1585785600,9.72,10.22,9.43,9.72,22393,1,4665900,0.01567398119122254
22,1585872000,9.72,9.72,8.91,9.34,15196,1,4674000,-0.039094650205761416
23,1586131200,9.98,10.94,9.82,10.32,16137,1,3994700,0.1049250535331907
24,1586217600,11.09,11.94,10.96,11.03,16192,1,3822000,0.068798449612403
25,1586304000,11.0,12.92,10.82,12.37,15728,1,4716700,0.12148685403445159
26,1586390400,12.52,13.15,11.8,12.12,14192,1,4969200,-0.0202101859337106
27,1586736000,12.29,12.53,11.64,12.14,10082,1,3675700,0.0016501650165017256
28,1586822400,12.68,13.19,12.4,13.09,12425,1,4172500,0.07825370675453036
29,1586908800,12.78,13.35,12.49,12.85,11421,1,4692800,-0.018334606569900713
30,1586995200,13.08,13.27,12.59,12.6,12587,1,4264900,-0.01945525291828798
31,1587081600,13.03,13.51,12.63,13.18,15097,1,4733600,0.04603174603174609
32,1587340800,12.98,13.88,12.51,13.82,8942,1,3196600,0.04855842185128978
33,1587513600,13.95,15.27,13.68,14.74,14554,1,4951600,0.06657018813314042
34,1587600000,15.15,15.53,13.6,13.6,14065,1,4542000,-0.0773405698778834
35,1587686400,13.28,13.37,11.64,12.66,19656,1,6399000,-0.0691176470588235
36,1587945600,13.13,13.51,12.49,12.97,13046,1,3547100,0.024486571879936747
37,1588032000,13.42,14.04,13.16,13.89,6619,1,1715100,0.07093292212798774
38,1588118400,14.18,14.54,13.82,13.84,7796,1,1589400,-0.003599712023038215
39,1588204800,13.61,13.92,12.78,13.06,11017,1,3592500,-0.056358381502890076
40,1588550400,12.62,13.32,12.28,13.29,10147,1,1995900,0.01761102603369058
41,1588636800,13.45,14.06,13.25,13.32,8533,1,2307000,0.0022573363431153126
42,1588723200,13.21,13.43,12.6,12.65,9077,1,2258900,-0.050300300300300305
43,1588809600,12.83,12.93,11.66,11.66,11408,1,3216300,-0.07826086956521738
44,1588896000,11.67,12.07,11.27,11.66,11096,1,2445600,0.0
45,1589155200,11.65,11.87,11.16,11.6,10199,1,3244800,-0.005145797598627877
46,1589241600,11.76,11.99,10.73,10.84,13708,1,3143800,-0.06551724137931036
47,1589328000,11.01,11.35,10.21,10.51,14408,1,4298900,-0.030442804428044257
48,1589414400,10.37,11.31,10.32,11.21,9343,1,2150600,0.06660323501427223
49,1589500800,11.22,12.22,11.06,12.22,18030,1,4621500,0.09009812667261374
50,1589760000,12.75,13.47,12.13,13.22,14301,1,4158800,0.08183306055646478
51,1589846400,13.18,13.74,12.6,13.57,10581,1,3717400,0.02647503782148264
52,1589932800,13.58,14.16,13.52,13.74,9167,1,2764200,0.012527634487840889
53,1590019200,13.96,14.21,13.37,13.69,13509,1,4962800,-0.003639010189228631
54,1590105600,13.53,13.61,12.9,13.08,9205,1,2083000,-0.04455807158509861
55,1590364800,13.47,14.18,13.41,13.67,16771,1,6422300,0.0451070336391437
56,1590451200,14.16,14.29,13.57,13.62,11365,1,6135900,-0.003657644476956934
57,1590537600,13.89,14.92,13.78,14.87,12456,1,4677900,0.09177679882525691
58,1590624000,14.85,14.89,13.9,14.28,17355,1,6225400,-0.03967720242098183
59,1590710400,14.2,14.54,13.52,14.54,10611,1,4235900,0.0182072829131652
60,1590969600,14.57,14.78,14.27,14.7,10541,1,3774600,0.011004126547455195
61,1591056000,14.87,15.09,14.66,14.86,17598,1,5080100,0.010884353741496655
62,1591142400,15.04,16.25,15.04,16.25,20177,1,5847900,0.09353970390309563
63,1591228800,16.09,16.42,15.66,16.32,14771,1,3612900,0.004307692307692346
64,1591315200,16.71,17.07,16.22,16.55,21434,1,5310800,0.014093137254902022
65,1591574400,16.76,17.29,16.74,17.16,16438,1,3793600,0.036858006042296054
66,1591660800,16.44,17.16,16.27,16.86,9387,1,2838500,-0.0174825174825175
67,1591747200,17.11,17.35,15.41,15.92,27360,1,9775800,-0.05575326215895604
68,1591920000,15.25,16.07,14.94,15.55,22436,1,5888500,-0.023241206030150674
69,1592179200,14.86,15.95,14.86,15.62,14147,1,3339500,0.004501607717041667
70,1592265600,16.17,16.55,15.46,15.72,10900,1,2602700,0.006402048655569814
71,1592352000,15.67,16.57,15.42,16.52,12684,1,5737300,0.05089058524173029
72,1592438400,16.48,16.96,16.19,16.9,11101,1,3649700,0.02300242130750596
73,1592524800,16.91,17.66,16.71,17.01,22232,1,11432300,0.0065088757396452035
74,1592784000,17.12,17.29,16.39,16.82,7316,1,2901300,-0.01116990005878904
75,1592870400,17.21,17.24,16.67,16.91,4726,1,1617000,0.005350772889417321
76,1592956800,16.91,16.98,16.16,16.75,4261,1,1053600,-0.009461856889414588
77,1593043200,16.77,17.19,16.4,17.19,5103,1,1527900,0.026268656716418093
78,1593129600,17.1,17.19,16.18,16.37,9860,1,2896300,-0.04770215241419429
79,1593388800,16.54,16.69,15.99,16.63,6295,1,1578400,0.01588271227855831
80,1593475200,16.55,16.95,16.43,16.65,6513,1,1595000,0.0012026458208056479
81,1593561600,16.74,17.62,16.48,17.35,13175,1,4810600,0.042042042042042205
82,1593648000,18.0,18.08,17.01,17.13,12023,1,3705600,-0.012680115273775328
83,1593734400,17.04,17.54,16.92,17.33,7596,1,1448600,0.011675423234092097
84,1593993600,17.57,17.96,17.49,17.53,6873,1,1617200,0.011540680900173239
85,1594080000,17.38,18.33,17.08,17.78,9561,1,2562200,0.01426126640045644
86,1594166400,17.98,18.25,17.75,17.86,7102,1,1719300,0.004499437570303577
87,1594252800,18.12,18.12,17.38,17.77,3708,1,1106300,-0.0050391937290032995
88,1594339200,17.82,18.29,17.53,17.88,10272,1,3006100,0.006190208216094506
89,1594598400,18.07,18.71,17.3,17.53,12532,1,3703500,-0.01957494407158822
90,1594684800,17.58,18.01,17.28,17.7,10910,1,3544300,0.0096976611523103
91,1594771200,18.01,18.07,17.67,17.82,6088,1,2339600,0.006779661016949268
92,1594857600,17.68,17.86,17.49,17.69,5133,1,1570800,-0.00729517396184054
93,1594944000,17.85,18.79,17.66,18.79,8036,1,2261000,0.06218202374222703
94,1595203200,18.79,19.47,18.55,19.18,9192,1,2454500,0.020755721128259852
95,1595289600,19.38,19.64,18.91,19.37,5420,1,1608900,0.00990615224191882
96,1595376000,19.35,19.51,18.77,19.06,5798,1,1829400,-0.016004130098089986
97,1595462400,19.06,19.36,17.93,18.03,11379,1,3694300,-0.05403987408184663
98,1595548800,18.07,18.21,17.17,17.81,7942,1,2138100,-0.012201885745979024
99,1595808000,18.05,18.28,17.58,17.84,8972,1,2685800,0.0016844469399215356
100,1595894400,17.83,17.9,17.38,17.53,7630,1,2812900,-0.017376681614349687
101,1595980800,17.63,18.25,17.55,18.05,10954,1,3244500,0.02966343411294914
102,1596067200,17.91,18.96,17.85,18.78,17424,1,5544100,0.040443213296398994
103,1596153600,18.86,19.18,18.46,18.89,12967,1,5267000,0.005857294994675133
104,1596412800,19.05,19.17,18.22,18.64,8166,1,2322000,-0.013234515616728393
105,1596499200,18.43,18.79,18.03,18.41,9341,1,1920800,-0.012339055793991416
106,1596585600,18.42,19.41,18.35,19.13,12687,1,3009800,0.0391091797935903
107,1596672000,19.17,19.64,19.03,19.43,7390,1,2249400,0.015682174594877196
108,1596758400,19.26,20.91,19.16,19.93,21606,1,11052800,0.025733401955738477
109,1597017600,19.93,20.13,19.46,19.56,5908,1,1547100,-0.018564977420973405
110,1597104000,19.74,20.82,19.69,20.3,12618,1,3461600,0.03783231083844596
111,1597190400,20.3,20.68,19.95,20.45,13038,1,4043900,0.00738916256157629
112,1597276800,20.54,21.15,20.19,20.44,16709,1,4915600,-0.0004889975550120829
113,1597363200,20.49,20.52,19.47,20.1,21200,1,5638500,-0.016634050880626194
114,1597622400,19.99,19.99,18.56,19.03,17525,1,4492200,-0.05323383084577116
115,1597708800,19.42,20.11,19.12,19.95,10477,1,3070000,0.048344718864949954
116,1597795200,20.1,20.28,19.23,19.69,7069,1,1883200,-0.013032581453633951
117,1597881600,19.31,20.13,18.81,19.95,7884,1,2725100,0.013204672422549413
118,1597968000,19.94,20.09,19.37,19.62,6499,1,1753200,-0.016541353383458524
119,1598227200,19.88,20.0,19.19,19.96,9738,1,2029600,0.017329255861366022
120,1598313600,19.93,20.39,19.65,20.07,6584,1,2482400,0.005511022044088154
121,1598400000,20.1,20.34,19.38,19.93,8527,1,3695100,-0.006975585450921806
122,1598486400,19.93,20.49,19.67,20.44,8071,1,2596700,0.025589563472152577
123,1598572800,20.5,20.88,20.25,20.66,6928,1,2358300,0.010763209393346296
124,1598832000,20.62,20.76,19.99,20.15,4797,1,1896600,-0.02468538238141349
125,1598918400,20.23,20.5,19.96,20.44,14612,1,3960900,0.01439205955334999
126,1599004800,20.71,21.21,20.28,20.5,13010,1,3355700,0.0029354207436398383
127,1599091200,20.44,21.01,20.24,20.86,12735,1,4261900,0.017560975609756113
128,1599177600,21.03,21.41,20.15,21.32,15600,1,3818400,0.02205177372962619
129,1599523200,21.03,22.16,20.76,22.07,13065,1,3317500,0.03517823639774864
130,1599609600,22.07,22.6,21.48,22.56,11430,1,3416500,0.022202084277299416
131,1599696000,22.48,22.49,21.67,21.71,6517,1,1953400,-0.037677304964538916
132,1599782400,21.87,21.87,20.87,20.95,8805,1,2695700,-0.03500690925840633
133,1600041600,21.18,22.0,20.99,21.9,9696,1,2884700,0.04534606205250591
134,1600128000,21.98,22.22,21.22,21.44,10575,1,3069000,-0.02100456621004554
135,1600214400,21.44,21.91,21.33,21.53,7376,1,1993100,0.004197761194029814
136,1600300800,21.4,21.82,21.24,21.73,6566,1,2034200,0.009289363678588014
137,1600387200,21.72,21.88,21.14,21.5,6400,1,1763200,-0.010584445467096248
138,1600646400,21.28,21.28,20.5,20.96,8306,1,2530700,-0.025116279069767433
139,1600732800,20.98,21.21,20.56,21.0,9256,1,2600100,0.00190839694656475
140,1600819200,25.3,25.72,24.1,24.63,58704,1,33665300,0.17285714285714282
141,1600905600,24.37,24.93,23.81,24.38,29985,1,10595800,-0.010150223304912664
142,1600992000,24.08,24.79,23.89,24.79,17395,1,8104700,0.016817063166529866
143,1601251200,25.13,25.22,23.69,23.79,9726,1,2902500,-0.040338846308995535
144,1601337600,23.89,24.05,23.37,23.63,12229,1,3584700,-0.006725514922236275
145,1601424000,23.56,24.17,23.41,23.54,10926,1,3697100,-0.003808717731696998
146,1601510400,23.53,24.13,23.31,24.0,6692,1,2056000,0.01954120645709434
147,1601596800,23.81,24.39,23.64,23.89,10479,1,3531400,-0.004583333333333273
148,1601856000,24.05,24.26,23.58,24.0,11526,1,2479700,0.004604437002930117
149,1601942400,24.38,24.48,23.74,23.86,9978,1,2562100,-0.005833333333333357
150,1602028800,23.9,24.15,23.37,23.71,7894,1,1783200,-0.006286672254819714
151,1602115200,23.71,24.78,23.58,24.72,8313,1,2475700,0.04259805989034149
152,1602201600,24.64,25.15,24.21,24.58,21996,1,4802000,-0.005663430420712046
153,1602547200,24.78,24.98,23.83,23.99,13914,1,3010900,-0.02400325467860054
154,1602633600,24.06,24.78,23.98,24.64,11068,1,3362400,0.027094622759483267
155,1602720000,24.33,25.66,24.28,25.19,9347,1,2659000,0.022321428571428603
156,1602806400,25.19,25.61,24.73,25.61,10323,1,2482400,0.016673283048828758
157,1603065600,25.67,26.01,24.93,25.32,11890,1,3825000,-0.011323701679031628
158,1603152000,25.41,26.47,25.36,26.34,8340,1,2433300,0.04028436018957349
159,1603238400,26.4,26.69,25.75,25.75,9210,1,2255400,-0.02239939255884582
160,1603324800,25.76,26.12,25.58,25.95,10041,1,3113400,0.007766990291262044
161,1603411200,25.9,26.21,25.43,25.86,6809,1,2182300,-0.003468208092485492
162,1603670400,25.73,26.2,25.5,25.66,8556,1,1921300,-0.007733952049497228
