,time,open,high,low,close,tick_volume,spread,real_volume,retorno
0,1583366400,53.3,53.9,49.96,51.23,30809,1,5952900,
1,1583452800,48.46,50.95,47.47,50.22,42603,1,10414000,-0.019715010735896876
2,1583712000,48.21,48.21,44.63,45.49,44419,1,8788600,-0.09418558343289518
3,1583798400,47.57,49.69,45.86,49.69,51250,1,12027400,0.09232798417234545
4,1583884800,47.48,49.69,43.6,46.57,39834,1,8356000,-0.06278929362044672
5,1583971200,39.56,43.44,37.94,42.73,36453,1,10984000,-0.08245651707107582
6,1584057600,50.44,50.44,41.76,46.26,63661,1,13072400,0.08261174818628603
7,1584316800,38.57,40.83,34.11,36.49,65816,1,14192100,-0.21119757890185897
8,1584403200,37.63,40.8,35.46,38.11,69484,1,17680900,0.04439572485612486
9,1584489600,33.62,34.62,26.03,31.65,63005,1,24021800,-0.16950931514038314
10,1584576000,29.18,36.44,28.43,36.39,64567,1,17169500,0.14976303317535544
11,1584662400,36.65,37.39,32.34,34.09,90106,1,19602400,-0.06320417697169545
12,1584921600,33.29,33.29,28.57,29.72,63494,1,17026100,-0.12819008506893526
13,1585008000,32.99,36.15,32.47,32.68,53953,1,16109700,0.09959623149394359
14,1585094400,32.39,39.52,32.39,36.46,45626,1,9711600,0.11566707466340276
15,1585180800,35.32,40.12,34.81,38.33,43188,1,9240200,0.051289083927591905
16,1585267200,35.96,37.45,35.19,35.66,40577,1,9888600,-0.06965823115053482
17,1585526400,35.66,37.25,34.96,35.36,31698,1,7765100,-0.00841278743690399
18,1585612800,35.17,35.85,32.42,33.25,36394,1,9112700,-0.059671945701357476
19,1585699200,31.7,32.29,30.33,31.95,47962,1,9363800,-0.0390977443609023
20,1585785600,31.92,34.02,31.12,31.84,33675,1,8213100,-0.0034428794992175105
21,1585872000,31.6,31.81,28.94,30.67,37349,1,9306300,-0.0367462311557788
22,1586131200,32.39,35.06,32.2,34.42,33562,1,9014300,0.12226931855233136
23,1586217600,37.64,38.04,35.81,36.65,66792,1,17583800,0.06478791400348616
24,1586304000,36.95,37.64,35.96,37.4,42151,1,11374200,0.02046384720327432
25,1586390400,37.73,38.93,36.24,36.24,44403,1,10776300,-0.031016042780748543
26,1586736000,35.76,36.58,34.58,35.7,40695,1,10557200,-0.01490066225165565
27,1586822400,36.22,38.29,35.72,35.72,35876,1,13730400,0.0005602240896358524
28,1586908800,35.17,36.95,34.78,35.42,47408,1,15011900,-0.008398656215005573
29,1586995200,35.76,36.78,35.04,35.32,45887,1,15285500,-0.0028232636928289256
30,1587081600,36.41,37.59,35.46,37.15,43794,1,15519100,0.051812004530011224
31,1587340800,36.15,39.31,35.91,38.63,40112,1,9354100,0.039838492597577435
32,1587513600,38.86,41.61,38.63,40.55,54590,1,13972000,0.049702303908878864
33,1587600000,41.61,42.5,37.89,39.08,49577,1,10436400,-0.036251541307028345
34,1587686400,37.95,38.29,34.16,37.32,69502,1,16629700,-0.04503582395086991
35,1587945600,38.04,38.59,36.61,38.3,44204,1,11404800,0.0262593783494105
36,1588032000,39.49,40.7,39.43,39.84,35887,1,10208700,0.040208877284595435
37,1588118400,40.76,41.04,39.88,40.19,31213,1,7550100,0.008785140562248772
38,1588204800,39.65,40.01,37.47,38.05,37104,1,9860800,-0.053247076387160974
39,1588550400,36.66,37.26,35.61,36.88,29704,1,7350400,-0.030749014454664825
40,1588636800,37.66,38.15,35.88,36.03,21910,1,5870900,-0.023047722342733223
41,1588723200,36.16,36.57,34.67,35.31,35431,1,9773300,-0.019983347210657754
42,1588809600,35.64,35.9,32.44,33.01,58138,1,18817600,-0.06513735485698113
43,1588896000,33.4,34.03,32.37,33.6,41539,1,11295100,0.017873371705543928
44,1589155200,33.3,33.36,31.73,32.41,47029,1,12822100,-0.03541666666666676
45,1589241600,33.19,34.11,32.21,32.79,40242,1,14280400,0.01172477630361013
46,1589328000,32.51,33.56,31.42,31.5,34393,1,10304400,-0.03934126258005488
47,1589414400,31.02,33.0,30.56,33.0,52196,1,12601000,0.04761904761904767
48,1589500800,32.67,34.28,32.01,33.12,37542,1,12479100,0.0036363636363636598
49,1589760000,34.79,35.98,34.36,35.88,56602,1,14859400,0.08333333333333348
50,1589846400,37.06,38.16,36.01,36.46,55538,1,13876100,0.016164994425863943
51,1589932800,36.41,38.35,36.25,37.94,36212,1,10974900,0.04059243006033997
52,1590019200,38.24,41.13,37.75,40.41,59406,1,17038300,0.06510279388508167
53,1590105600,38.26,39.13,36.94,37.04,54159,1,16511600,-0.08339519920811678
54,1590364800,38.21,40.54,38.08,40.01,31883,1,8531600,0.08018358531317493
55,1590451200,40.64,41.15,37.77,37.81,37062,1,10110700,-0.054986253436640764
56,1590537600,38.63,39.46,37.23,39.44,35779,1,11529900,0.04311028828352281
57,1590624000,39.15,39.35,38.3,38.68,25175,1,8878700,-0.01926977687626774
58,1590710400,38.47,38.85,37.34,38.21,42963,1,19118700,-0.012150982419855239
59,1590969600,37.96,41.45,37.59,40.63,33227,1,12150200,0.06333420570531278
60,1591056000,41.32,42.0,40.66,41.76,42805,1,10031200,0.027811961604725433
61,1591142400,42.46,44.49,42.37,43.79,43186,1,12515600,0.04861111111111116
62,1591228800,44.06,45.04,43.13,44.16,36273,1,8464800,0.0084494176752683
63,1591315200,46.57,47.27,44.72,45.57,40169,1,12626400,0.03192934782608714
64,1591574400,46.29,47.61,45.03,45.8,31410,1,10390700,0.005047180162387477
65,1591660800,45.11,45.67,44.15,45.41,28815,1,7527300,-0.008515283842794763
66,1591747200,45.89,46.16,43.1,43.51,34515,1,7587700,-0.04184100418410042
67,1591920000,42.02,43.43,41.03,42.6,42994,1,10677900,-0.0209147322454607
68,1592179200,40.89,42.68,39.98,41.76,43500,1,10498100,-0.019718309859155014
69,1592265600,43.38,43.89,41.39,41.39,31476,1,7099600,-0.008860153256704972
70,1592352000,41.65,43.88,41.65,43.02,24822,1,6840300,0.039381493114278854
71,1592438400,42.52,44.32,42.13,42.66,21292,1,6187700,-0.008368200836820217
72,1592524800,43.26,44.02,42.74,43.52,29782,1,9497000,0.020159399906235498
73,1592784000,43.44,43.99,42.01,42.56,20517,1,5267000,-0.022058823529411797
74,1592870400,42.73,43.02,41.23,41.5,31909,1,8947400,-0.024906015037594043
75,1592956800,41.08,41.91,40.02,40.74,28176,1,6375600,-0.018313253012048114
76,1593043200,40.7,41.61,40.16,40.5,23000,1,6937700,-0.005891016200294641
77,1593129600,40.47,40.68,39.5,40.3,25396,1,9107800,-0.004938271604938316
78,1593388800,40.76,40.93,39.81,40.89,23106,1,5623400,0.01464019851116638
79,1593475200,40.5,42.31,40.45,41.49,25970,1,6504000,0.014673514306676516
80,1593561600,41.5,42.16,41.01,41.12,25101,1,6015200,-0.008917811520848473
81,1593648000,41.67,41.97,40.32,41.15,31949,1,7293600,0.0007295719844357951
82,1593734400,41.09,41.5,40.41,40.69,17326,1,4261100,-0.011178614823815325
83,1593993600,41.33,42.79,40.77,42.2,32143,1,8008600,0.037109855001228986
84,1594080000,41.93,42.97,41.9,42.42,22918,1,5869900,0.005213270142180093
85,1594166400,42.74,44.17,42.74,43.27,29766,1,7348500,0.02003771805751997
86,1594252800,43.13,44.41,42.78,43.78,21717,1,5540900,0.011786457129650874
87,1594339200,43.67,44.61,43.43,44.08,16048,1,3950800,0.006852444038373706
88,1594598400,44.42,44.47,42.05,42.45,32359,1,8007700,-0.036978221415607915
89,1594684800,42.4,42.4,41.03,41.6,30623,1,8568000,-0.020023557126030656
90,1594771200,42.17,42.6,41.14,41.27,26652,1,7923200,-0.007932692307692224
91,1594857600,41.11,41.66,39.96,41.23,28265,1,7851000,-0.0009692270414346504
92,1594944000,41.49,42.48,41.35,41.93,30640,1,6798800,0.01697792869269965
93,1595203200,41.69,42.43,41.39,42.43,19346,1,4354500,0.011924636298592972
94,1595289600,42.43,43.02,41.82,41.98,19366,1,4933300,-0.010605703511666342
95,1595376000,41.89,42.92,41.59,42.36,19753,1,4177500,0.00905192949023359
96,1595462400,42.36,42.73,40.32,40.76,25718,1,7121000,-0.037771482530689404
97,1595548800,40.51,41.02,38.94,40.89,27880,1,6445100,0.003189401373896006
98,1595808000,40.89,41.34,39.61,39.7,24846,1,5456600,-0.029102470041574846
99,1595894400,39.8,40.24,39.4,39.85,25009,1,5266800,0.0037783375314861534
