,time,open,high,low,close,tick_volume,spread,real_volume,retorno
0,1583107200,12.64,13.33,12.42,13.1,56056,1,64611600,
1,1583193600,13.14,13.66,12.88,13.18,53451,1,58392000,0.006106870229007688
2,1583280000,13.56,13.58,12.93,13.08,39013,1,45342400,-0.007587253414264028
3,1583366400,12.97,12.97,11.62,11.92,68158,1,84786000,-0.08868501529051986
4,1583452800,11.0,11.57,10.73,11.3,86297,1,113371200,-0.052013422818791843
5,1583712000,9.73,10.56,9.67,10.06,71804,1,96773200,-0.10973451327433625
6,1583798400,11.22,11.72,10.54,11.72,63099,1,81796000,0.16500994035785288
7,1583884800,11.22,11.66,9.95,10.74,65151,1,79463600,-0.08361774744027306
8,1583971200,8.98,9.68,7.62,8.48,23854,1,69530400,-0.21042830540037238
9,1584057600,10.6,10.66,8.53,10.47,90027,1,120059600,0.23466981132075482
10,1584316800,8.73,9.95,8.5,8.5,66160,1,91606800,-0.18815663801337157
11,1584403200,9.01,9.4,8.19,8.87,74791,1,107862400,0.043529411764705817
12,1584489600,7.98,8.38,6.6,7.18,75355,1,121286400,-0.1905298759864712
13,1584576000,6.86,7.82,6.23,7.62,81921,1,112496000,0.06128133704735372
14,1584662400,8.18,8.99,7.64,7.64,73856,1,112820800,0.002624671916010346
15,1584921600,8.1,8.21,7.37,7.53,60007,1,85382000,-0.014397905759162222
16,1585008000,8.41,9.42,8.41,9.15,62483,1,82356000,0.21513944223107573
17,1585094400,9.2,10.81,9.16,9.97,89017,1,124531200,0.08961748633879774
18,1585180800,10.13,11.07,10.04,10.25,71124,1,91190800,0.028084252758274753
19,1585267200,9.65,10.16,9.39,9.72,48059,1,68004400,-0.05170731707317067
20,1585526400,10.22,10.48,9.92,10.37,47970,1,75363200,0.06687242798353887
21,1585612800,10.59,10.77,9.68,9.72,67900,1,96640000,-0.06268081002892945
22,1585699200,9.33,9.76,8.99,9.35,59657,1,73311200,-0.03806584362139931
23,1585785600,9.53,9.65,8.75,8.95,63315,1,81574800,-0.042780748663101664
24,1585872000,8.81,8.89,8.31,8.86,56452,1,65600400,-0.010055865921787643
25,1586131200,9.58,9.82,9.28,9.53,50758,1,64714400,0.07562076749435676
26,1586217600,10.33,10.62,10.0,10.0,53221,1,78278800,0.04931794333683115
27,1586304000,10.04,10.52,9.83,10.46,44103,1,62905600,0.04600000000000004
28,1586390400,10.68,10.9,10.29,10.39,41466,1,51614400,-0.006692160611854736
29,1586736000,10.25,10.5,10.14,10.45,30527,1,33614400,0.005774783445620768
30,1586822400,10.7,10.82,10.56,10.7,33868,1,44486000,0.02392344497607657
31,1586908800,10.5,11.05,10.35,10.93,44040,1,53939600,0.021495327102803774
32,1586995200,11.13,11.47,11.02,11.36,52950,1,57933200,0.03934126258005488
33,1587081600,11.64,11.69,10.95,11.12,47270,1,48179600,-0.021126760563380254
34,1587340800,10.9,12.11,10.78,12.09,56759,1,79129200,0.08723021582733814
35,1587513600,12.34,13.01,12.24,12.6,80692,1,88870400,0.042183622828784184
36,1587600000,12.93,13.09,12.11,12.34,53812,1,69818400,-0.020634920634920673
37,1587686400,12.07,12.26,10.64,11.81,90395,1,105264400,-0.04294975688816849
38,1587945600,12.28,12.47,11.97,12.34,54456,1,69732400,0.04487722269263328
39,1588032000,12.72,12.92,12.5,12.92,50153,1,57689600,0.04700162074554304
40,1588118400,13.12,13.19,12.5,12.62,58100,1,66516400,-0.023219814241486114
