,time,open,high,low,close,tick_volume,spread,real_volume,retorno
0,1583366400,12.36,12.36,11.27,11.7,35961,1,13120200,
1,1583452800,10.89,11.43,10.54,11.14,42779,1,18148000,-0.047863247863247804
2,1583712000,9.79,9.85,8.47,8.47,52119,1,17121300,-0.2396768402154399
3,1583798400,9.54,10.03,8.85,9.81,43661,1,20370400,0.15820543093270367
4,1583884800,9.39,9.74,8.47,9.08,34195,1,14645000,-0.07441386340468914
5,1583971200,7.66,8.39,7.07,7.26,23246,1,13464500,-0.20044052863436124
6,1584057600,8.84,9.22,7.55,9.09,48415,1,22256100,0.2520661157024793
7,1584316800,7.58,8.55,7.12,7.5,40766,1,19090900,-0.17491749174917492
8,1584403200,8.16,8.49,7.42,7.8100000000000005,39714,1,24718400,0.041333333333333444
9,1584489600,7.12,7.19,5.57,6.37,38578,1,22789700,-0.18437900128040974
10,1584576000,5.93,7.03,5.44,7.03,49151,1,28234000,0.10361067503924648
11,1584662400,7.47,7.71,6.37,7.03,39915,1,22287800,0.0
12,1584921600,7.03,7.7,6.59,7.35,34376,1,19508600,0.045519203413940224
13,1585008000,7.93,8.44,7.72,7.8100000000000005,25399,1,15501700,0.0625850340136056
14,1585094400,7.85,8.54,7.66,8.2,23658,1,17925800,0.049935979513444195
15,1585180800,8.44,8.89,7.99,8.31,30292,1,15914600,0.013414634146341697
16,1585267200,8.01,8.73,7.78,8.43,24718,1,14172200,0.014440433212996373
17,1585526400,8.69,9.24,8.45,8.85,26392,1,14659300,0.04982206405693956
18,1585612800,9.1,9.3,8.75,8.75,28880,1,14414300,-0.011299435028248594
19,1585699200,8.32,9.19,8.16,9.1,38096,1,17752200,0.040000000000000036
20,1585785600,9.3,9.35,8.67,8.75,23285,1,11840900,-0.038461538461538436
21,1585872000,8.76,8.89,7.97,8.52,35050,1,15463900,-0.026285714285714357
22,1586131200,8.9,9.3,8.8,9.22,23486,1,13478500,0.08215962441314573
23,1586217600,9.65,10.03,8.78,8.84,32816,1,15570000,-0.041214750542299394
24,1586304000,8.88,9.05,8.56,8.85,23978,1,12166100,0.0011312217194570096
25,1586390400,8.9,9.13,8.7,8.76,19501,1,8524900,-0.01016949152542368
26,1586736000,8.75,9.29,8.59,9.29,22320,1,11117100,0.060502283105022814
27,1586822400,9.53,9.61,9.26,9.39,23244,1,10991600,0.010764262648008671
28,1586908800,9.15,9.51,9.07,9.39,19141,1,9428500,0.0
29,1586995200,9.64,9.71,9.23,9.29,14654,1,8069400,-0.010649627263045969
30,1587081600,9.58,9.58,9.16,9.28,14489,1,5733300,-0.0010764262648008671
31,1587340800,9.09,9.58,8.91,9.46,16613,1,7265800,0.019396551724138122
32,1587513600,9.5,10.37,9.5,10.22,24172,1,14573400,0.08033826638477803
33,1587600000,10.43,10.55,9.96,10.35,33419,1,12020600,0.012720156555772855
34,1587686400,10.24,10.85,9.6,10.33,60121,1,22163000,-0.0019323671497584183
35,1587945600,10.52,11.57,10.45,11.37,46024,1,18559100,0.100677637947725
36,1588032000,11.67,12.41,11.62,12.4,45360,1,20729200,0.09058927000879513
37,1588118400,12.46,12.84,12.12,12.37,33592,1,14615200,-0.0024193548387098085
38,1588204800,12.18,12.7,11.95,12.7,27257,1,14930700,0.02667744543249806
39,1588550400,12.21,12.74,12.13,12.33,32465,1,14573600,-0.029133858267716528
40,1588636800,12.63,12.99,12.23,12.36,19195,1,9742300,0.0024330900243307862
41,1588723200,12.41,12.64,12.17,12.55,24224,1,7920200,0.015372168284789822
42,1588809600,12.85,13.94,12.84,13.47,54821,1,21829200,0.07330677290836651
43,1588896000,13.65,13.81,12.96,13.1,21520,1,10690100,-0.027468448403860535
44,1589155200,13.1,14.13,12.92,13.6,39357,1,15545100,0.03816793893129766
45,1589241600,13.83,14.31,13.43,14.11,32472,1,14302700,0.03750000000000009
46,1589328000,14.32,14.71,14.08,14.35,30165,1,13102000,0.01700921332388372
47,1589414400,14.46,14.76,13.93,14.19,33975,1,14756000,-0.011149825783972167
