,time,open,high,low,close,tick_volume,spread,real_volume,retorno
0,1583107200,44.65,45.81,44.03,44.81,29095,1,6106400,
1,1583193600,45.3,45.96,43.53,44.5,42352,1,17641900,-0.006918098638696746
2,1583280000,44.75,45.1,43.3,44.17,37877,1,8968600,-0.007415730337078652
3,1583366400,44.64,44.64,40.85,41.25,39227,1,8391000,-0.06610821824767943
4,1583452800,40.27,40.8,39.4,39.8,61004,1,15627300,-0.03515151515151527
5,1583712000,36.74,37.81,35.4,36.0,54479,1,15936600,-0.09547738693467334
6,1583798400,37.67,39.1,35.65,39.1,43224,1,11761800,0.08611111111111125
7,1583884800,37.5,37.5,32.99,35.91,55328,1,15143100,-0.08158567774936076
8,1583971200,30.05,33.75,28.0,28.51,20974,1,9061900,-0.20607073238652174
9,1584057600,34.5,35.99,29.4,33.0,45150,1,13086000,0.15748860049105562
10,1584316800,27.0,27.94,24.31,25.0,48990,1,15527600,-0.24242424242424243
11,1584403200,26.35,27.89,25.05,27.84,45432,1,11326900,0.11359999999999992
12,1584489600,25.75,26.36,20.85,25.2,45733,1,13255200,-0.09482758620689657
13,1584576000,24.1,26.16,21.51,25.89,39129,1,12070400,0.027380952380952506
14,1584662400,27.0,28.22,24.8,25.17,38954,1,10718200,-0.02780996523754342
15,1584921600,24.95,24.98,20.44,21.25,48898,1,14834300,-0.15574096146205807
16,1585008000,22.7,25.7,22.42,24.9,30044,1,10976100,0.17176470588235282
17,1585094400,24.25,30.66,23.62,28.9,36267,1,10454100,0.1606425702811245
18,1585180800,28.32,30.17,27.48,29.0,35355,1,8746200,0.0034602076124568004
19,1585267200,27.3,29.14,27.21,28.55,22087,1,6036400,-0.01551724137931032
20,1585526400,28.81,29.29,26.63,27.43,32606,1,8635300,-0.03922942206655
21,1585612800,27.5,27.5,24.8,25.74,33994,1,9092000,-0.06161137440758302
22,1585699200,24.0,24.78,22.33,23.19,74636,1,14483300,-0.09906759906759899
23,1585785600,23.33,24.74,22.7,23.88,34798,1,8297800,0.02975420439844756
24,1585872000,23.65,24.4,21.82,23.68,37889,1,8490800,-0.008375209380234505
25,1586131200,25.61,27.83,24.82,26.44,35483,1,8613600,0.11655405405405417
26,1586217600,28.02,29.6,28.02,28.96,38165,1,8908800,0.09531013615733741
27,1586304000,28.96,30.38,27.84,30.11,27479,1,6456600,0.03970994475138112
28,1586390400,30.15,30.99,28.75,28.98,34423,1,10020700,-0.03752906011291923
29,1586736000,28.81,29.3,27.05,28.26,31878,1,10276900,-0.024844720496894346
30,1586822400,28.88,30.55,28.75,29.78,38835,1,7755100,0.05378627034677996
31,1586908800,28.85,32.63,28.8,31.8,43854,1,11433900,0.06783075889858958
32,1586995200,32.1,33.78,31.51,32.33,37465,1,10457600,0.016666666666666607
33,1587081600,33.41,34.32,32.0,33.34,25279,1,10432400,0.03124033405505733
34,1587340800,32.5,34.51,32.0,33.46,25512,1,5959300,0.00359928014397104
35,1587513600,33.59,35.58,33.09,35.0,32372,1,6903800,0.046025104602510414
36,1587600000,35.1,35.7,33.25,34.6,25554,1,5770600,-0.011428571428571344
37,1587686400,34.0,34.35,30.1,33.23,44634,1,9511600,-0.03959537572254346
38,1587945600,33.94,35.45,33.35,35.4,28366,1,7597900,0.06530243755642506
39,1588032000,35.99,36.35,34.62,35.06,42981,1,9946400,-0.009604519774011222
40,1588118400,35.48,36.57,34.51,36.32,34332,1,7675300,0.03593839132915
41,1588204800,35.7,36.86,34.97,35.52,36053,1,20480700,-0.022026431718061623
42,1588550400,34.4,34.4,33.0,34.4,34151,1,9419700,-0.031531531531531654
43,1588636800,34.79,35.47,34.1,34.52,24292,1,5971000,0.0034883720930234396
44,1588723200,34.61,36.66,33.61,36.5,29967,1,7046100,0.057358053302433376
45,1588809600,37.0,37.31,35.4,36.45,43338,1,12124800,-0.001369863013698569
46,1588896000,36.6,37.5,34.85,35.7,38853,1,12162500,-0.020576131687242816
47,1589155200,34.83,35.77,33.5,34.15,31389,1,7416200,-0.04341736694677878
48,1589241600,34.14,34.22,32.0,32.05,40083,1,10988300,-0.061493411420205035
49,1589328000,32.27,33.7,31.67,32.43,24976,1,6530000,0.011856474258970406
50,1589414400,31.9,33.24,31.46,33.24,24266,1,6242900,0.024976873265494914
51,1589500800,32.32,32.96,31.54,32.18,20678,1,7979800,-0.03188929001203378
52,1589760000,33.53,33.68,32.43,33.36,24344,1,5626400,0.03666873834679918
53,1589846400,33.0,34.26,32.54,32.54,22862,1,5212500,-0.024580335731414826
54,1589932800,32.43,33.9,32.17,33.71,22578,1,5103200,0.035955746773202346
55,1590019200,33.65,35.0,33.44,33.91,21449,1,5263900,0.005932957579353193
56,1590105600,33.74,34.28,32.7,34.1,18145,1,4695900,0.005603066941905155
57,1590364800,34.5,35.6,34.38,35.14,20014,1,5697700,0.030498533724340193
58,1590451200,35.7,36.92,35.44,36.08,26704,1,7350800,0.026750142287990775
59,1590537600,36.28,39.35,36.23,38.7,40358,1,8912300,0.07261640798226177
60,1590624000,38.69,38.99,36.88,37.74,31700,1,7196000,-0.024806201550387597
61,1590710400,37.73,37.93,36.1,37.18,38381,1,14827600,-0.014838367779544281
62,1590969600,36.99,38.59,36.35,37.97,25476,1,5698600,0.02124798278644424
63,1591056000,38.0,38.71,37.52,38.01,20530,1,5218900,0.0010534632604688454
64,1591142400,38.48,39.27,37.56,38.33,22285,1,5983700,0.008418837148118863
65,1591228800,38.64,38.64,37.15,37.91,24226,1,11055000,-0.010957474563005554
66,1591315200,38.41,41.14,38.35,40.14,40797,1,11207700,0.05882352941176472
67,1591574400,40.65,41.95,39.52,41.29,35862,1,7815800,0.028649725959142947
68,1591660800,40.5,41.27,39.88,41.21,31793,1,6767700,-0.0019375151368369314
69,1591747200,41.55,41.95,40.01,40.85,33485,1,7783200,-0.008735743751516645
70,1591920000,39.48,40.61,39.39,40.02,48043,1,10469600,-0.02031823745410033
71,1592179200,39.31,41.84,39.24,40.58,37266,1,7606200,0.013993003498250722
72,1592265600,42.54,42.84,40.31,40.31,27768,1,5734300,-0.006653523903400571
73,1592352000,40.31,42.49,40.31,41.92,25695,1,6985800,0.039940461423964235
74,1592438400,41.61,43.9,41.0,41.54,32272,1,9519600,-0.009064885496183228
75,1592524800,41.87,43.74,41.58,42.23,41598,1,13914300,0.01661049590755903
76,1592784000,42.31,42.55,40.82,41.05,23009,1,4716800,-0.02794222116978451
77,1592870400,41.41,42.34,41.08,42.34,17040,1,6839800,0.03142509135200999
78,1592956800,42.18,42.55,40.33,41.3,19930,1,5355500,-0.02456306093528593
79,1593043200,40.99,42.05,40.84,41.86,16975,1,5543400,0.013559322033898313
80,1593129600,41.37,42.14,39.46,39.9,19288,1,5145900,-0.04682274247491636
81,1593388800,40.0,40.26,39.26,40.02,17282,1,4189100,0.003007518796992681
82,1593475200,39.66,40.23,39.31,39.9,21468,1,5267600,-0.002998500749625266
83,1593561600,39.9,40.7,39.53,40.28,22128,1,7866300,0.00952380952380949
84,1593648000,40.78,41.53,38.91,40.81,29446,1,10656700,0.013157894736842035
85,1593734400,40.63,41.5,40.23,41.3,12041,1,3827000,0.012006861063464713
86,1593993600,41.62,42.0,40.6,40.66,16551,1,6285900,-0.015496368038740882
87,1594080000,40.49,40.49,39.2,39.91,21567,1,6398700,-0.018445646827348727
88,1594166400,40.01,42.59,40.01,42.32,42003,1,19396600,0.060385868203457926
89,1594252800,42.35,42.99,41.68,42.15,14322,1,3001900,-0.004017013232514244
90,1594339200,41.94,42.39,41.02,42.03,17102,1,5101800,-0.002846975088967918
91,1594598400,41.98,41.98,39.81,39.9,22449,1,6195300,-0.050678087080656686
92,1594684800,39.9,40.4,38.99,39.68,16086,1,3978900,-0.005513784461152804
93,1594771200,40.05,40.94,39.75,40.55,19672,1,4405600,0.021925403225806495
94,1594857600,40.38,40.96,39.72,40.44,15373,1,3922200,-0.0027127003699136676
95,1594944000,40.79,42.42,40.58,42.0,28788,1,6047600,0.03857566765578646
96,1595203200,42.0,43.44,41.56,43.44,15371,1,3972700,0.03428571428571425
97,1595289600,43.75,44.55,41.85,43.37,31690,1,7519300,-0.0016114180478821183
98,1595376000,43.6,44.08,42.54,43.48,28031,1,5034600,0.002536315425409219
99,1595462400,42.9,44.29,42.49,42.8,21401,1,4320000,-0.015639374425022945
100,1595548800,42.45,43.0,41.46,42.6,19484,1,3986600,-0.004672897196261627
101,1595808000,42.61,43.9,42.34,43.18,22328,1,5045500,0.013615023474178312
102,1595894400,42.87,44.73,42.51,44.12,24758,1,7471000,0.021769337656322385
103,1595980800,44.25,47.24,44.12,47.09,48781,1,11819300,0.06731640979147802
104,1596067200,46.58,48.8,46.2,48.67,36207,1,7862000,0.0335527712890209
105,1596153600,48.67,48.67,46.14,47.04,28683,1,7192100,-0.033490856790630796
106,1596412800,47.44,47.44,45.63,46.61,24181,1,6441600,-0.009141156462585065
107,1596499200,46.2,47.14,45.06,46.74,24645,1,5280600,0.00278910105127661
108,1596585600,47.9,48.49,46.6,47.81,26138,1,5290800,0.0228925973470262
109,1596672000,47.63,48.59,46.77,48.03,30327,1,5626300,0.004601547793348537
110,1596758400,47.69,47.85,46.28,46.79,26843,1,9353000,-0.0258171975848428
111,1597017600,47.0,47.21,45.4,46.45,23949,1,4497400,-0.007266509938020915
112,1597104000,46.56,47.06,45.08,45.84,22415,1,4923700,-0.013132400430570512
113,1597190400,45.9,46.62,45.27,46.62,25294,1,5997200,0.017015706806282616
114,1597276800,46.8,48.0,46.25,47.54,43207,1,10288300,0.01973401973401967
115,1597363200,47.71,52.76,47.68,51.43,69527,1,19228900,0.08182583087925965
116,1597622400,51.0,51.5,48.57,50.87,31194,1,7340200,-0.010888586428154823
