,time,open,high,low,close,tick_volume,spread,real_volume,retorno
0,1583366400,24.04,24.35,22.56,23.09,74719,1,69722300,
1,1583452800,22.01,22.03,20.59,20.85,162534,1,138597600,-0.09701169337375481
2,1583712000,16.26,16.65,14.07,14.66,337078,1,252818600,-0.29688249400479616
3,1583798400,17.03,17.03,14.95,16.03,208045,1,169491500,0.09345156889495221
4,1583884800,15.25,15.64,13.7,14.47,179043,1,129760000,-0.09731752963194018
5,1583971200,12.47,12.66,10.12,11.51,156661,1,149988500,-0.20456116102280586
6,1584057600,13.79,14.06,11.6,14.06,229225,1,173046800,0.22154648132059096
7,1584316800,11.79,12.88,11.46,11.95,163807,1,125346000,-0.15007112375533438
8,1584403200,12.42,12.64,11.87,11.87,167938,1,148051800,-0.006694560669456062
9,1584489600,10.77,11.22,9.93,10.31,199504,1,161408100,-0.13142375737152479
10,1584576000,10.11,11.93,9.91,11.15,186922,1,155410800,0.08147429679922413
11,1584662400,11.97,12.33,10.8,10.96,192861,1,148237800,-0.01704035874439458
12,1584921600,11.06,11.12,10.3,10.5,134536,1,106106400,-0.04197080291970812
13,1585008000,11.48,12.36,11.21,12.1,124003,1,113403000,0.15238095238095228
14,1585094400,12.09,13.51,11.72,13.08,173592,1,157331500,0.08099173553719008
15,1585180800,13.15,13.87,12.61,13.14,138250,1,129591700,0.004587155963302836
16,1585267200,12.14,12.5,12.1,12.14,126152,1,100330500,-0.076103500761035
17,1585526400,12.01,12.55,11.72,12.22,130309,1,110533100,0.006589785831960571
18,1585612800,12.42,13.28,12.42,12.77,169315,1,155314800,0.045008183306055605
19,1585699200,12.28,13.29,12.16,13.06,147197,1,113484400,0.022709475332811424
20,1585785600,14.06,15.11,13.71,14.16,216575,1,233805800,0.08422664624808562
21,1585872000,14.88,14.94,13.63,14.01,151824,1,142008100,-0.010593220338983023
22,1586131200,14.66,14.7,13.86,14.4,144411,1,122543200,0.027837259100642386
23,1586217600,15.17,15.59,14.92,14.98,151848,1,139719500,0.04027777777777786
24,1586304000,15.1,16.01,14.98,15.82,153574,1,114580500,0.05607476635514019
25,1586390400,16.38,17.07,15.07,15.36,189282,1,184868500,-0.029077117572692823
26,1586736000,15.36,15.61,14.91,15.46,111978,1,93256500,0.006510416666666741
27,1586822400,15.54,15.8,15.17,15.28,107951,1,90489200,-0.011642949547218673
28,1586908800,14.65,15.04,14.48,14.96,85538,1,86289800,-0.020942408376963262
29,1586995200,15.22,15.3,14.18,14.35,117442,1,113215600,-0.040775401069518824
30,1587081600,14.38,14.73,14.21,14.73,116602,1,116224800,0.026480836236933758
31,1587340800,14.14,14.91,14.01,14.56,129658,1,132867000,-0.01154107264086901
32,1587513600,14.47,15.29,14.41,15.29,112835,1,114260100,0.05013736263736246
33,1587600000,15.71,15.92,15.18,15.48,107822,1,94317800,0.012426422498365008
34,1587686400,15.24,15.33,13.95,14.56,166946,1,160177100,-0.05943152454780365
35,1587945600,14.74,15.09,14.41,15.02,101095,1,85572700,0.03159340659340648
36,1588032000,15.56,15.75,15.19,15.75,108111,1,91135200,0.048601864181091914
37,1588118400,16.34,16.87,16.01,16.62,111171,1,94046400,0.05523809523809531
38,1588204800,16.42,16.82,16.16,16.48,80537,1,79395500,-0.008423586040914643
39,1588550400,15.92,16.09,15.69,15.87,70795,1,59671300,-0.03701456310679618
40,1588636800,16.35,16.87,16.32,16.38,88440,1,74531300,0.032136105860113506
41,1588723200,16.32,16.49,15.78,15.78,79645,1,66938500,-0.03663003663003661
42,1588809600,16.21,16.32,15.84,15.92,111231,1,80905000,0.00887198986058313
43,1588896000,16.2,16.97,16.17,16.87,97299,1,82592000,0.059673366834170904
44,1589155200,16.71,17.29,16.54,16.57,88249,1,64537800,-0.01778304682869003
45,1589241600,16.92,17.19,16.56,16.56,85133,1,70454500,-0.0006035003017502705
46,1589328000,16.67,16.76,16.0,16.06,121348,1,86698900,-0.03019323671497587
47,1589414400,15.89,15.95,15.27,15.89,127132,1,118694900,-0.010585305105852982
48,1589500800,16.43,16.61,15.66,15.66,123488,1,132872000,-0.014474512271869133
49,1589760000,16.53,16.93,16.36,16.93,120145,1,116002500,0.08109833971902924
50,1589846400,16.9,17.29,16.81,17.06,90106,1,79690300,0.007678676904902426
51,1589932800,17.43,17.75,17.4,17.62,87933,1,74119900,0.03282532239155933
52,1590019200,17.81,18.05,17.41,17.52,109337,1,80924000,-0.005675368898978461
53,1590105600,17.17,17.26,16.76,17.05,78422,1,68842800,-0.026826484018264818
54,1590364800,17.79,17.86,17.59,17.79,45778,1,37579800,0.04340175953079162
55,1590451200,18.24,18.34,17.65,17.96,76325,1,68280700,0.009555930297920234
