,time,open,high,low,close,tick_volume,spread,real_volume,retorno
0,1583366400,8.15,8.45,7.75,7.91,12051,1,12669500,
1,1583452800,7.4,7.58,7.02,7.09,17348,1,18805000,-0.10366624525916568
2,1583712000,4.5600000000000005,5.52,4.43,4.5,25025,1,35886000,-0.36530324400564174
3,1583798400,5.5600000000000005,5.59,4.65,5.11,24422,1,34062000,0.13555555555555565
4,1583884800,4.8,5.1,4.4,4.66,17811,1,22536500,-0.0880626223091977
5,1583971200,3.7199999999999998,3.7199999999999998,3.14,3.14,10011,1,22225000,-0.32618025751072965
6,1584057600,4.01,4.01,3.07,3.73,18182,1,28511000,0.18789808917197437
7,1584316800,2.8,3.43,2.77,3.1,12439,1,17824000,-0.16890080428954424
8,1584403200,3.2,3.26,2.9,2.94,14641,1,18628500,-0.05161290322580647
9,1584489600,2.58,2.71,1.8199999999999998,2.07,19685,1,31969500,-0.29591836734693877
10,1584576000,2.08,2.56,1.87,2.37,15599,1,27147500,0.14492753623188426
11,1584662400,2.64,2.92,2.46,2.48,22128,1,46619000,0.04641350210970452
12,1584921600,2.4,2.4699999999999998,2.16,2.38,12755,1,21471000,-0.040322580645161366
13,1585008000,2.74,2.7800000000000002,2.52,2.61,12223,1,23245000,0.09663865546218497
14,1585094400,2.66,3.68,2.63,3.46,20531,1,37488000,0.32567049808429127
15,1585180800,3.3,4.44,3.3,3.79,23449,1,45004500,0.09537572254335269
16,1585267200,3.45,3.94,3.39,3.62,18388,1,28124000,-0.04485488126649073
17,1585526400,3.6,3.7800000000000002,3.31,3.4,19868,1,30514000,-0.06077348066298349
18,1585612800,3.5300000000000002,3.64,3.26,3.34,15037,1,25219000,-0.01764705882352946
19,1585699200,3.16,3.32,3.01,3.3,13241,1,19403000,-0.0119760479041916
20,1585785600,3.63,3.95,3.46,3.9,22921,1,48303000,0.18181818181818188
21,1585872000,4.15,4.3,3.73,4.17,27593,1,47432000,0.0692307692307692
22,1586131200,4.33,5.14,4.24,5.14,26356,1,50098000,0.23261390887290156
23,1586217600,5.8,5.98,5.42,5.5,29979,1,39925500,0.07003891050583655
24,1586304000,5.38,5.82,5.33,5.6,24880,1,40971500,0.018181818181818077
25,1586390400,5.78,5.86,4.77,4.9399999999999995,26365,1,44410000,-0.11785714285714288
26,1586736000,4.95,5.08,4.59,4.6899999999999995,18701,1,27189000,-0.05060728744939269
27,1586822400,4.8,4.98,4.65,4.74,12456,1,19361500,0.0106609808102347
28,1586908800,4.4,4.73,4.32,4.7,13919,1,18898000,-0.008438818565400852
29,1586995200,4.91,4.98,4.5,4.5,11983,1,16834000,-0.042553191489361764
30,1587081600,4.57,4.6,4.39,4.4,10046,1,13484000,-0.022222222222222143
31,1587340800,4.1,4.3,4.04,4.12,18982,1,30732500,-0.06363636363636371
32,1587513600,3.9,4.08,3.82,3.96,22750,1,37867000,-0.03883495145631066
33,1587600000,4.18,4.29,3.86,3.99,15228,1,25791000,0.007575757575757569
34,1587686400,3.9,3.96,3.54,3.71,16195,1,23756000,-0.07017543859649134
35,1587945600,3.76,3.84,3.57,3.75,9465,1,14644500,0.010781671159029615
36,1588032000,3.9,4.4,3.81,4.36,18838,1,33815000,0.16266666666666674
37,1588118400,4.64,4.77,4.18,4.3,20838,1,40737500,-0.013761467889908396
38,1588204800,4.3,4.4,4.08,4.09,12087,1,20349000,-0.0488372093023256
39,1588550400,3.86,4.02,3.82,3.95,9221,1,12739500,-0.03422982885085568
40,1588636800,4.16,4.36,4.13,4.24,13416,1,23005500,0.07341772151898729
41,1588723200,4.2,4.25,4.0,4.16,10638,1,15672000,-0.018867924528301883
42,1588809600,4.36,4.38,4.11,4.16,14589,1,23348500,0.0
43,1588896000,4.25,4.29,4.03,4.04,7186,1,10980000,-0.028846153846153855
44,1589155200,4.02,4.23,3.94,4.22,7720,1,16280500,0.044554455445544594
45,1589241600,4.31,4.49,4.06,4.16,13765,1,22402000,-0.01421800947867291
46,1589328000,4.2,4.24,3.95,4.05,7902,1,12460000,-0.02644230769230782
47,1589414400,3.9699999999999998,4.24,3.87,4.2,13745,1,20003500,0.0370370370370372
48,1589500800,4.27,4.38,4.16,4.16,13096,1,21855500,-0.00952380952380949
49,1589760000,4.42,5.0,4.37,5.0,17577,1,41350000,0.20192307692307687
50,1589846400,4.99,5.41,4.93,5.4,22047,1,41544000,0.08000000000000007
51,1589932800,5.52,5.66,5.24,5.25,16727,1,27567000,-0.02777777777777779
52,1590019200,5.36,5.5600000000000005,5.25,5.5,19062,1,30300500,0.04761904761904767
53,1590105600,5.32,5.44,5.15,5.38,13154,1,22549000,-0.021818181818181848
54,1590364800,5.55,5.89,5.55,5.8,11629,1,23590500,0.07806691449814118
55,1590451200,6.11,6.27,5.75,5.76,15119,1,25466000,-0.006896551724137945
56,1590537600,5.77,5.97,5.58,5.95,11732,1,19136000,0.03298611111111116
57,1590624000,5.95,6.05,5.79,5.85,11201,1,14636500,-0.01680672268907568
58,1590710400,5.79,6.2,5.7,6.2,9603,1,14559500,0.05982905982905984
59,1590969600,6.34,6.39,6.16,6.26,11876,1,17294500,0.009677419354838568
60,1591056000,6.4,6.72,6.38,6.72,13082,1,19427500,0.07348242811501593
61,1591142400,6.82,6.93,6.32,6.5,15499,1,22736000,-0.03273809523809523
62,1591228800,6.38,6.8,6.32,6.78,13408,1,18086500,0.04307692307692301
63,1591315200,7.04,7.62,6.97,7.45,19259,1,28933000,0.09882005899705004
64,1591574400,7.7,7.71,7.36,7.47,16727,1,22675000,0.0026845637583892135
65,1591660800,7.22,7.38,7.01,7.04,12508,1,19524000,-0.05756358768406955
66,1591747200,7.18,7.18,6.5600000000000005,6.58,16955,1,25398500,-0.06534090909090906
67,1591920000,6.2,6.66,6.05,6.17,17102,1,27210000,-0.06231003039513683
68,1592179200,5.82,6.72,5.75,6.7,16209,1,25678500,0.0858995137763372
69,1592265600,7.04,7.22,6.44,6.63,18319,1,26351500,-0.010447761194029903
70,1592352000,6.72,6.86,6.52,6.67,8661,1,11928000,0.006033182503770718
71,1592438400,6.64,7.04,6.62,7.03,11960,1,17764000,0.05397301349325345
72,1592524800,7.24,7.36,6.85,7.02,13008,1,23285000,-0.0014224751066856944
73,1592784000,7.07,7.17,6.84,6.92,8179,1,9877500,-0.014245014245014231
74,1592870400,7.1,7.29,6.92,7.13,12334,1,17042000,0.030346820809248554
75,1592956800,7.0,7.03,6.47,6.72,15076,1,21117500,-0.057503506311360475
76,1593043200,6.63,7.09,6.55,7.09,13410,1,20114000,0.055059523809523725
77,1593129600,7.0,7.09,6.82,6.89,9499,1,13470000,-0.028208744710860434
78,1593388800,6.98,7.03,6.82,6.99,7944,1,10874000,0.014513788098693858
79,1593475200,6.9,7.08,6.84,7.08,8126,1,11311500,0.012875536480686733
80,1593561600,7.08,7.33,6.9,6.9,15103,1,19779000,-0.025423728813559254
81,1593648000,7.13,7.19,6.91,7.08,13729,1,18382500,0.02608695652173898
82,1593734400,7.03,7.04,6.87,6.97,7460,1,10262500,-0.015536723163841804
83,1593993600,7.08,7.46,7.05,7.43,19555,1,31520500,0.06599713055954082
84,1594080000,7.32,7.49,7.27,7.43,9785,1,13681500,0.0
85,1594166400,7.5,7.68,7.33,7.33,13753,1,20151500,-0.013458950201884257
86,1594252800,7.43,7.45,7.1,7.33,17142,1,23000500,0.0
87,1594339200,7.32,7.36,7.17,7.22,10586,1,12573000,-0.015006821282401162
88,1594598400,7.3,7.87,7.26,7.73,21517,1,31221000,0.07063711911357351
89,1594684800,7.6,8.07,7.5,7.97,17846,1,25335500,0.031047865459249646
90,1594771200,8.16,8.22,7.9,8.03,11908,1,16326500,0.007528230865746499
91,1594857600,7.96,8.14,7.91,7.93,6891,1,8858000,-0.01245330012453294
92,1594944000,8.01,8.14,7.79,7.83,14865,1,21758500,-0.01261034047919285
93,1595203200,7.85,8.13,7.85,8.02,10448,1,14664000,0.024265644955300036
94,1595289600,8.23,8.44,8.13,8.23,15937,1,23327000,0.026184538653366785
95,1595376000,8.22,8.22,7.96,8.12,10797,1,12846000,-0.013365735115431487
96,1595462400,8.12,8.23,7.74,7.9,11169,1,13387500,-0.027093596059113212
97,1595548800,7.86,7.87,7.57,7.7,12545,1,13556500,-0.025316455696202556
98,1595808000,7.76,8.08,7.71,8.03,11030,1,12726000,0.042857142857142705
99,1595894400,8.03,8.19,7.8100000000000005,7.87,10630,1,13136500,-0.01992528019925266
100,1595980800,7.98,8.06,7.87,7.87,6506,1,8215500,0.0
101,1596067200,7.76,7.97,7.61,7.93,7310,1,10104000,0.007623888182973326
102,1596153600,7.97,8.04,7.73,7.92,8413,1,11056500,-0.0012610340479192184
103,1596412800,7.96,8.01,7.8,7.9,7570,1,8343000,-0.002525252525252486
104,1596499200,7.7,7.95,7.65,7.66,9173,1,11516000,-0.03037974683544309
105,1596585600,7.84,8.77,7.83,8.7,29146,1,47418000,0.13577023498694496
106,1596672000,8.68,8.78,8.4,8.44,14760,1,17974000,-0.029885057471264354
107,1596758400,8.41,8.8,8.28,8.78,14616,1,18520000,0.04028436018957349
108,1597017600,8.78,9.2,8.73,9.08,15257,1,21594000,0.034168564920273425
109,1597104000,9.28,9.35,8.71,8.76,12596,1,15901000,-0.03524229074889873
110,1597190400,8.9,8.96,8.57,8.88,11549,1,13212500,0.013698630136986356
111,1597276800,8.88,9.02,8.62,8.72,7762,1,11487000,-0.018018018018018056
112,1597363200,8.74,8.81,8.49,8.62,7520,1,9520500,-0.01146788990825709
113,1597622400,8.52,8.74,8.17,8.41,8201,1,11433000,-0.024361948955916368
114,1597708800,8.61,8.83,8.53,8.81,8885,1,13216000,0.04756242568370994
115,1597795200,8.9,9.46,8.84,9.34,18707,1,31512000,0.06015891032917131
116,1597881600,9.11,9.54,9.03,9.18,12263,1,19287000,-0.017130620985010725
117,1597968000,9.19,9.25,8.86,8.95,9972,1,15196500,-0.025054466230936878
118,1598227200,9.11,9.2,8.77,8.86,9548,1,13130500,-0.010055865921787643
119,1598313600,8.97,9.02,8.78,8.86,8830,1,11596000,0.0
120,1598400000,8.86,8.94,8.61,8.77,8558,1,10848000,-0.010158013544018019
121,1598486400,8.77,8.88,8.56,8.61,6630,1,9021000,-0.01824401368301032
122,1598572800,8.82,8.85,8.53,8.6,8135,1,11685500,-0.0011614401858304202
123,1598832000,8.62,8.68,8.36,8.38,7898,1,11005000,-0.025581395348837077
124,1598918400,8.46,8.84,8.28,8.8,16826,1,21523000,0.05011933174224348
125,1599004800,8.86,8.92,8.5,8.68,14391,1,18119500,-0.01363636363636378
126,1599091200,8.57,8.83,8.52,8.67,14301,1,20698000,-0.0011520737327188613
127,1599177600,8.66,9.02,8.3,8.81,20476,1,49219500,0.016147635524798254
128,1599523200,8.5,8.6,8.1,8.27,22432,1,28348000,-0.06129398410896714
129,1599609600,8.45,8.53,8.25,8.26,12069,1,15772000,-0.0012091898428052694
130,1599696000,8.24,8.27,7.87,7.92,13183,1,16847500,-0.041162227602905554
131,1599782400,7.92,8.05,7.7,7.92,13159,1,16637000,0.0
132,1600041600,7.92,7.98,7.76,7.8,8184,1,10162500,-0.015151515151515138
133,1600128000,7.87,7.98,7.76,7.8,9405,1,11034500,0.0
134,1600214400,7.92,7.9399999999999995,7.74,7.75,7493,1,9944000,-0.0064102564102563875
135,1600300800,7.7,7.91,7.62,7.83,7674,1,10257000,0.010322580645161228
136,1600387200,7.76,7.96,7.51,7.62,9646,1,11748500,-0.026819923371647514
137,1600646400,7.4,7.57,7.25,7.42,7181,1,8825500,-0.026246719160105014
138,1600732800,7.44,7.51,7.27,7.3,6441,1,7211000,-0.016172506738544534
139,1600819200,7.28,7.34,6.96,6.97,8935,1,10380000,-0.045205479452054775
140,1600905600,6.97,7.43,6.86,7.3,12403,1,16063000,0.04734576757532283
141,1600992000,7.27,7.27,7.0,7.1,9376,1,10809500,-0.0273972602739726
142,1601251200,7.26,7.3,6.92,6.96,8209,1,9540000,-0.019718309859154903
143,1601337600,6.96,7.06,6.82,6.87,10054,1,10654500,-0.012931034482758563
144,1601424000,6.9,7.09,6.87,6.98,6893,1,7584500,0.01601164483260553
145,1601510400,6.87,7.14,6.78,7.11,9515,1,11520500,0.018624641833810962
146,1601596800,6.97,7.0,6.83,6.85,7222,1,9267000,-0.0365682137834038
147,1601856000,7.01,7.33,6.91,7.31,13259,1,16266500,0.06715328467153281
148,1601942400,7.42,7.51,7.12,7.15,13498,1,17612500,-0.02188782489740071
149,1602028800,7.19,7.4,7.01,7.3,11594,1,15929500,0.020979020979020824
150,1602115200,7.44,7.49,7.18,7.24,12728,1,17067500,-0.008219178082191747
151,1602201600,7.22,7.3,7.11,7.11,7037,1,9223500,-0.017955801104972413
152,1602547200,7.13,7.26,6.96,7.11,8794,1,11951000,0.0
153,1602633600,7.12,7.7,7.09,7.68,15776,1,24970500,0.08016877637130793
154,1602720000,7.49,7.49,7.2,7.25,17723,1,28409000,-0.05598958333333326
155,1602806400,7.27,7.29,7.05,7.09,9728,1,11873500,-0.022068965517241357
156,1603065600,7.13,7.46,7.1,7.17,14258,1,19188000,0.01128349788434413
157,1603152000,7.23,7.28,7.11,7.17,7773,1,11096000,0.0
158,1603238400,7.12,7.33,7.1,7.18,7416,1,10585500,0.001394700139470073
159,1603324800,7.18,7.61,7.16,7.54,15360,1,25377500,0.050139275766016844
160,1603411200,7.5600000000000005,7.63,7.23,7.26,11433,1,17528500,-0.037135278514588865
161,1603670400,7.2,7.23,7.0,7.1,8587,1,12066000,-0.02203856749311295
162,1603756800,7.14,7.17,6.92,6.9399999999999995,8499,1,10702000,-0.022535211267605604
163,1603843200,6.6,6.72,6.4,6.43,13780,1,20539500,-0.07348703170028814
164,1603929600,6.3,6.64,6.11,6.6,14945,1,19058000,0.026438569206842955
165,1604016000,6.5600000000000005,6.5600000000000005,6.21,6.26,11873,1,13331500,-0.051515151515151514
166,1604361600,6.61,6.61,6.33,6.49,12291,1,14744000,0.036741214057508076
167,1604448000,6.5600000000000005,6.6,6.33,6.44,10714,1,15708000,-0.007704160246533087
168,1604534400,6.52,6.55,6.36,6.47,9601,1,12877500,0.004658385093167627
169,1604620800,6.38,6.87,6.31,6.8,15050,1,24335000,0.051004636785162205
170,1604880000,7.21,7.25,6.82,7.05,21521,1,27858500,0.03676470588235303
171,1604966400,7.05,7.55,6.88,6.91,27211,1,41159000,-0.019858156028368712
172,1605052800,7.07,7.07,6.58,6.68,18011,1,24156500,-0.03328509406657021
173,1605139200,6.67,6.78,6.37,6.41,18222,1,26280500,-0.04041916167664661
174,1605225600,6.44,6.8100000000000005,6.43,6.8,11723,1,19157000,0.060842433697347875
175,1605484800,6.9399999999999995,7.12,6.89,6.93,16567,1,26428000,0.01911764705882346
176,1605571200,6.87,7.22,6.84,7.05,14075,1,19975500,0.017316017316017396
177,1605657600,7.14,7.39,7.06,7.08,15738,1,22399500,0.004255319148936287
178,1605744000,7.62,9.2,7.6,9.2,85636,1,161938000,0.29943502824858736
179,1605830400,9.0,9.12,8.4,8.64,37585,1,61712000,-0.060869565217391175
180,1606089600,8.8,9.38,8.6,9.3,27562,1,47696500,0.07638888888888884
181,1606176000,9.3,9.55,9.02,9.06,24748,1,37865000,-0.02580645161290329
182,1606262400,9.06,9.86,9.06,9.6,29250,1,47446000,0.05960264900662238
