,time,open,high,low,close,tick_volume,spread,real_volume,retorno
0,1583366400,49.62,50.28,46.0,47.8,32930,1,8690900,
1,1583452800,45.67,46.02,43.74,44.63,46484,1,14124400,-0.06631799163179908
2,1583712000,42.4,42.4,38.17,39.43,59724,1,17086600,-0.1165135559041004
3,1583798400,40.72,41.92,39.62,41.56,51846,1,16261500,0.05401978189196055
4,1583884800,40.42,41.12,37.15,38.6,44436,1,14343200,-0.07122232916265647
5,1583971200,29.82,33.86,28.78,32.69,27767,1,12596800,-0.1531088082901555
6,1584057600,38.14,39.23,31.36,35.66,49103,1,16170700,0.09085347200978888
7,1584316800,29.98,31.14,27.3,27.3,53150,1,16396300,-0.23443634324172735
8,1584403200,28.01,28.75,25.75,27.5,61596,1,22953100,0.0073260073260073
9,1584489600,24.5,24.81,20.46,23.7,78421,1,24747400,-0.13818181818181818
10,1584576000,21.84,28.29,21.75,25.89,46380,1,15578500,0.09240506329113929
11,1584662400,26.8,28.44,24.93,27.35,64620,1,16059000,0.056392429509463105
12,1584921600,27.32,27.91,22.78,23.92,58052,1,13282100,-0.1254113345521024
13,1585008000,26.41,27.95,24.71,26.98,54907,1,17264400,0.12792642140468224
14,1585094400,26.9,34.94,26.61,34.22,34659,1,9424400,0.2683469236471461
15,1585180800,33.5,35.81,31.78,34.44,45812,1,16144500,0.006428988895382792
16,1585267200,32.46,32.56,30.08,31.09,33066,1,12332400,-0.09727061556329841
17,1585526400,31.32,31.56,28.13,28.49,32230,1,10928900,-0.08362817626246388
18,1585612800,28.63,29.09,25.31,26.11,38601,1,11121700,-0.08353808353808356
19,1585699200,25.22,25.22,23.15,23.53,44603,1,12422100,-0.09881271543469927
20,1585785600,23.78,25.95,22.97,25.95,36803,1,9884600,0.10284742881427955
21,1585872000,25.58,25.58,22.35,23.14,40753,1,13339400,-0.10828516377649322
22,1586131200,24.97,28.86,24.93,27.8,47092,1,13805100,0.20138288677614513
23,1586217600,30.58,31.17,27.92,29.01,48795,1,15029000,0.04352517985611515
24,1586304000,29.21,33.24,28.33,31.67,51734,1,15149300,0.09169251982075144
25,1586390400,31.94,33.36,29.88,29.93,47588,1,14464800,-0.054941585096305756
