,time,open,high,low,close,tick_volume,spread,real_volume,retorno
0,1583366400,24.01,24.2,22.15,22.88,9435,1,4449900,
1,1583452800,21.6,22.0,21.13,21.38,17346,1,9539700,-0.06555944055944052
2,1583712000,18.93,20.5,18.93,19.2,17299,1,10039800,-0.10196445275958843
3,1583798400,19.75,20.89,19.71,20.5,15253,1,6800700,0.06770833333333348
4,1583884800,19.75,20.21,18.11,19.32,17345,1,10763700,-0.05756097560975604
5,1583971200,16.66,17.8,16.53,16.87,6284,1,5259300,-0.12681159420289856
6,1584057600,19.75,19.75,17.08,18.97,14823,1,8118300,0.12448132780082966
7,1584316800,16.5,17.26,15.56,16.3,14075,1,6868200,-0.14074855034264622
8,1584403200,16.8,17.7,16.27,16.67,9671,1,4585800,0.022699386503067576
9,1584489600,15.2,15.54,13.23,14.11,24201,1,12869100,-0.15356928614277154
10,1584576000,13.83,14.96,12.23,13.86,23028,1,12105900,-0.017717930545712246
11,1584662400,14.22,15.36,13.7,14.4,25894,1,18273299,0.038961038961039085
12,1584921600,14.39,14.46,13.36,14.39,13235,1,7502100,-0.000694444444444442
13,1585008000,15.68,16.27,15.11,15.11,11177,1,6861900,0.050034746351633075
14,1585094400,15.04,18.54,14.82,18.11,10020,1,6867000,0.19854401058901394
15,1585180800,18.16,18.63,16.8,17.5,21601,1,11636100,-0.03368304803975697
16,1585267200,16.94,16.96,14.69,14.98,31966,1,19617600,-0.14400000000000002
17,1585526400,15.73,15.97,14.99,15.45,13532,1,8578500,0.03137516688918551
18,1585612800,15.24,15.65,15.01,15.37,18829,1,9304200,-0.00517799352750814
19,1585699200,14.78,15.57,14.06,14.74,19710,1,9165000,-0.040988939492517806
20,1585785600,14.8,15.25,14.56,15.01,13068,1,6168300,0.01831750339213012
21,1585872000,14.94,15.11,14.09,14.46,14080,1,9351900,-0.03664223850766146
22,1586131200,15.14,16.06,14.93,15.38,9928,1,4058100,0.0636237897648686
23,1586217600,16.45,17.92,16.13,16.76,20687,1,10417800,0.08972691807542277
24,1586304000,16.79,18.19,16.53,17.94,12971,1,6536700,0.07040572792362765
25,1586390400,18.49,19.02,17.69,17.69,20163,1,10893900,-0.013935340022296572
26,1586736000,17.69,18.32,17.29,18.32,8410,1,4451700,0.03561334087054835
27,1586822400,18.63,19.37,18.09,18.11,18013,1,7847100,-0.011462882096069937
28,1586908800,17.81,18.91,17.6,18.57,15879,1,7783500,0.025400331308669255
29,1586995200,18.64,19.61,18.33,19.12,20268,1,8604600,0.02961766289714607
30,1587081600,19.46,19.96,18.9,19.43,18933,1,9636000,0.01621338912133874
31,1587340800,18.96,19.49,18.85,19.43,11820,1,5077800,0.0
32,1587513600,19.43,20.32,19.42,19.85,13572,1,7508700,0.021616057642820374
33,1587600000,20.21,20.21,19.16,19.29,10692,1,4496700,-0.028211586901763286
34,1587686400,18.76,19.26,16.96,17.48,16147,1,8116200,-0.09383100051840321
35,1587945600,18.07,19.46,17.78,19.24,10150,1,5218500,0.10068649885583514
