,time,open,high,low,close,tick_volume,spread,real_volume,retorno
0,2020-03-05,43.74,44.01,42.18,43.0,76393,1,29092300,
1,2020-03-06,40.57,42.06,40.06,40.95,83486,1,39718600,-0.04767441860465105
2,2020-03-09,37.13,38.13,34.7,34.72,139391,1,58884700,-0.15213675213675226
3,2020-03-10,38.46,41.62,37.45,41.13,113375,1,62965600,0.18461981566820285
4,2020-03-11,39.48,40.65,35.8,37.39,98428,1,49607200,-0.09093119377583281
5,2020-03-12,33.04,33.04,29.78,32.45,91709,1,61994500,-0.1321208879379513
6,2020-03-13,38.55,40.41,33.96,39.38,149221,1,67248300,0.21355932203389827
7,2020-03-16,33.05,38.0,33.05,35.83,133095,1,58833400,-0.09014728288471319
8,2020-03-17,37.17,39.99,35.9,38.1,117797,1,52585900,0.06335473067262076
9,2020-03-18,35.61,37.51,32.77,35.47,141853,1,59550300,-0.06902887139107616
10,2020-03-19,34.42,35.8,32.36,33.41,115649,1,52142800,-0.05807724837891182
11,2020-03-20,34.79,36.17,31.86,32.3,116524,1,50199700,-0.033223585752768625
12,2020-03-23,32.63,32.91,30.63,31.3,107086,1,41743200,-0.030959752321981338
13,2020-03-24,33.83,35.47,33.83,34.55,72492,1,36949000,0.10383386581469645
14,2020-03-25,35.05,37.95,34.96,37.49,86984,1,37932500,0.08509406657018825
15,2020-03-26,37.64,38.93,36.7,38.55,89512,1,35388400,0.028274206455054518
16,2020-03-27,36.07,38.04,35.98,36.81,67843,1,32158500,-0.045136186770427855
17,2020-03-30,37.56,38.84,37.39,38.34,68236,1,31189000,0.041564792176039145
18,2020-03-31,38.83,40.84,38.75,39.67,81176,1,39026100,0.03468961919666147
19,2020-04-01,38.38,40.5,37.82,39.81,80527,1,37022600,0.003529115200403332
20,2020-04-02,40.34,40.91,38.48,39.27,82353,1,34274700,-0.013564431047475511
21,2020-04-03,39.28,39.35,36.49,37.17,77787,1,31539000,-0.053475935828877
22,2020-04-06,39.1,39.83,38.52,39.59,79985,1,31844100,0.06510626849609902
23,2020-04-07,41.48,41.76,39.98,40.18,77816,1,34064300,0.014902753220510156
24,2020-04-08,39.93,40.61,39.51,39.94,61843,1,29326300,-0.005973120955699351
25,2020-04-09,40.34,40.82,39.32,39.72,69869,1,29799200,-0.0055082623935903685
26,2020-04-13,39.65,40.91,39.45,40.91,49174,1,21952500,0.029959718026183246
27,2020-04-14,41.87,42.22,40.84,40.87,66859,1,24644400,-0.000977756049865497
28,2020-04-15,39.93,40.29,39.11,39.64,56008,1,28687200,-0.030095424516760394
29,2020-04-16,40.2,40.38,38.59,39.25,56317,1,24260100,-0.009838546922300684
30,2020-04-17,40.29,40.6,39.67,40.39,45766,1,23525600,0.02904458598726123
31,2020-04-20,39.71,39.71,38.76,38.97,58081,1,28903300,-0.03515721713295372
32,2020-04-22,39.1,39.69,38.6,39.38,52196,1,22527500,0.010520913523223152
33,2020-04-23,39.73,41.02,39.29,39.94,57650,1,26979700,0.01422041645505323
34,2020-04-24,39.81,40.57,38.39,40.17,129699,1,54903700,0.005758637956935431
35,2020-04-27,40.81,41.35,40.26,40.89,53475,1,25417900,0.017923823749066425
36,2020-04-28,41.49,41.57,39.91,40.95,59137,1,25470100,0.0014673514306677848
37,2020-04-29,41.62,43.49,41.16,42.89,63144,1,32984600,0.04737484737484721
38,2020-04-30,41.95,42.38,41.08,41.17,59288,1,25389800,-0.040102588015854534
39,2020-05-04,40.11,40.69,39.83,40.32,42287,1,16873000,-0.02064610153024049
40,2020-05-05,40.8,41.33,40.11,40.11,35428,1,18961300,-0.00520833333333337
41,2020-05-06,40.56,41.08,40.03,40.69,50774,1,26494700,0.014460234355522239
42,2020-05-07,41.88,43.12,41.72,42.27,85774,1,42053500,0.03883017940525946
43,2020-05-08,43.6,44.94,43.11,44.84,70846,1,34782200,0.06079962148095586
44,2020-05-11,44.25,45.2,43.81,43.81,47524,1,24622000,-0.0229705619982159
45,2020-05-12,44.45,44.61,43.56,43.56,42803,1,21620900,-0.005706459712394474
46,2020-05-13,44.21,45.14,43.74,44.55,77724,1,34005700,0.022727272727272707
47,2020-05-14,44.01,44.48,43.08,44.14,74031,1,35392600,-0.009203142536475806
48,2020-05-15,44.69,45.25,44.1,44.1,65476,1,34985300,-0.000906207521522373
49,2020-05-18,46.2,47.36,45.85,47.05,88186,1,41825800,0.06689342403628107
50,2020-05-19,47.09,48.38,46.89,48.13,57898,1,27265400,0.022954303931987274
51,2020-05-20,48.99,49.26,48.19,48.19,58857,1,26914300,0.0012466237274049163
52,2020-05-21,47.99,48.33,46.23,46.93,98532,1,41719300,-0.026146503423946865
53,2020-05-22,46.6,46.9,45.8,46.14,60668,1,23409500,-0.016833581930534858
54,2020-05-25,47.19,47.43,45.82,45.98,49129,1,21008300,-0.003467706978760421
55,2020-05-26,46.24,46.37,44.83,45.16,65672,1,28758800,-0.017833840800348
56,2020-05-27,45.75,46.65,44.77,46.48,59263,1,31735100,0.029229406554472925
57,2020-05-28,46.81,47.41,45.94,45.98,62088,1,23336400,-0.01075731497418242
58,2020-05-29,47.18,48.65,46.87,48.65,102057,1,92235500,0.05806872553284048
59,2020-06-01,48.48,49.43,48.19,49.03,68135,1,27007400,0.007810894141829339
60,2020-06-02,49.38,49.38,48.65,49.03,62262,1,25416300,0.0
61,2020-06-03,49.47,49.88,48.99,49.25,77896,1,31225500,0.004487048745665856
62,2020-06-04,49.31,51.12,49.12,51.09,85856,1,37378000,0.03736040609137059
63,2020-06-05,51.76,52.04,49.88,50.12,90969,1,39637200,-0.018986102955568684
64,2020-06-08,50.46,51.08,49.55,50.28,60645,1,27194300,0.0031923383878691425
65,2020-06-09,49.71,50.47,49.67,50.47,60443,1,19612900,0.003778838504375548
66,2020-06-10,50.4,50.67,49.34,49.75,52540,1,24193100,-0.014265900534971232
67,2020-06-12,49.3,49.61,47.71,49.01,79093,1,31178000,-0.01487437185929652
68,2020-06-15,48.19,49.96,47.85,49.45,71052,1,27319200,0.00897775964088976
69,2020-06-16,50.93,50.94,49.77,50.84,83899,1,29170800,0.028109201213346813
70,2020-06-17,50.93,51.8,50.62,51.58,78628,1,27569700,0.014555468135326377
71,2020-06-18,51.67,51.9,51.04,51.56,65659,1,25692100,-0.0003877471888328321
