,time,open,high,low,close,tick_volume,spread,real_volume,retorno
0,1583366400,23.76,24.01,22.48,23.02,27685,1,12970600,
1,1583452800,21.7,22.24,21.37,21.7,39238,1,18766600,-0.05734144222415294
2,1583712000,19.73,20.46,19.24,19.6,35867,1,16053400,-0.09677419354838701
3,1583798400,20.71,21.27,19.92,20.66,37072,1,16990600,0.054081632653061096
4,1583884800,20.14,20.68,18.25,19.33,33870,1,14236200,-0.06437560503388196
5,1583971200,17.75,17.78,16.04,16.27,29614,1,15194000,-0.15830315571650277
6,1584057600,18.49,19.04,15.73,17.02,53700,1,23945600,0.04609711124769511
7,1584316800,15.62,15.87,13.51,13.51,32762,1,17911200,-0.20622796709753233
8,1584403200,14.06,14.68,13.56,14.14,44292,1,25148400,0.04663212435233177
9,1584489600,12.77,14.0,12.38,13.05,45625,1,23933000,-0.07708628005657703
10,1584576000,12.93,14.98,12.71,14.17,51535,1,27664400,0.08582375478927196
11,1584662400,15.36,17.26,15.06,15.96,50794,1,29604200,0.1263232180663374
12,1584921600,16.73,18.4,15.52,17.37,61790,1,37429800,0.08834586466165417
13,1585008000,19.19,19.84,17.79,17.79,47069,1,28213800,0.024179620034542104
14,1585094400,18.13,19.08,18.1,18.43,35871,1,18284800,0.03597526700393483
15,1585180800,18.65,19.24,18.0,18.73,23798,1,11996000,0.016277807921866616
16,1585267200,18.01,18.01,17.22,17.45,25129,1,13912800,-0.06833956219967974
17,1585526400,17.57,18.39,16.53,16.79,27146,1,15105400,-0.037822349570200586
18,1585612800,16.82,17.49,16.26,16.56,27785,1,14040800,-0.013698630136986356
19,1585699200,15.99,16.52,15.56,16.0,28108,1,12868800,-0.033816425120772875
20,1585785600,16.46,17.34,16.16,16.83,23564,1,11916000,0.05187499999999989
21,1585872000,16.9,17.01,15.5,16.23,28563,1,11304600,-0.03565062388591789
22,1586131200,17.31,17.32,16.14,16.42,18609,1,10938200,0.011706715958102354
23,1586217600,17.52,18.6,17.39,18.41,31107,1,17313800,0.12119366626065764
24,1586304000,18.5,19.78,18.5,19.73,27361,1,14586000,0.07170016295491588
25,1586390400,20.0,20.43,18.84,18.9,27042,1,12635200,-0.04206791687785105
26,1586736000,18.82,19.49,18.55,19.37,16644,1,7315000,0.024867724867724927
27,1586822400,19.74,19.97,19.19,19.19,25983,1,11465000,-0.00929272070211662
28,1586908800,18.8,19.27,18.75,18.75,22734,1,11810400,-0.022928608650338744
29,1586995200,18.83,19.2,18.62,18.76,23343,1,14002200,0.0005333333333334966
30,1587081600,19.2,19.23,18.64,18.98,18105,1,13700800,0.011727078891258014
31,1587340800,18.59,19.52,18.23,19.29,16714,1,11768200,0.016332982086406655
32,1587513600,19.39,20.33,19.34,20.19,25510,1,10724800,0.046656298600311175
33,1587600000,20.5,20.7,19.2,19.54,26042,1,11612600,-0.03219415552253602
34,1587686400,19.09,19.46,17.39,19.1,45869,1,21333400,-0.022517911975434846
35,1587945600,19.4,20.26,19.16,20.03,20431,1,12748800,0.04869109947643979
36,1588032000,20.72,20.87,19.93,20.52,28947,1,14709800,0.024463305042436323
37,1588118400,21.32,21.74,20.43,20.43,32456,1,14787800,-0.004385964912280715
38,1588204800,20.06,20.37,19.34,19.71,20949,1,13906200,-0.03524229074889862
39,1588550400,19.23,19.73,18.85,19.66,23425,1,9776000,-0.0025367833587012223
40,1588636800,19.89,20.09,19.16,19.25,17844,1,8152800,-0.02085452695829093
41,1588723200,19.27,19.36,18.6,19.16,26126,1,13240600,-0.004675324675324721
42,1588809600,19.36,20.18,19.11,19.29,40835,1,19169000,0.006784968684759862
43,1588896000,19.74,19.79,18.75,18.87,19685,1,10072400,-0.02177293934681168
44,1589155200,18.9,19.36,18.82,19.16,20716,1,9763800,0.015368309485956466
45,1589241600,19.24,19.43,18.33,18.5,18789,1,8225600,-0.034446764091858095
46,1589328000,18.71,19.03,18.47,18.75,20952,1,10538600,0.013513513513513598
47,1589414400,18.65,18.78,17.92,18.43,25844,1,12461800,-0.017066666666666674
48,1589500800,18.3,18.46,17.76,17.97,23868,1,11624600,-0.024959305480195426
49,1589760000,18.45,18.49,18.05,18.07,18890,1,8296200,0.005564830272676735
50,1589846400,18.12,18.75,17.93,18.22,28757,1,12111200,0.008301051466518938
51,1589932800,18.28,19.08,18.28,18.57,23324,1,10429200,0.019209659714599425
52,1590019200,18.67,18.78,18.24,18.47,18606,1,9918600,-0.005385029617662962
53,1590105600,18.46,18.96,18.11,18.38,20433,1,9438000,-0.004872766648619353
54,1590364800,18.8,19.02,18.56,18.77,14964,1,7357200,0.021218715995647397
55,1590451200,19.15,20.01,19.0,19.94,27931,1,14427000,0.0623335109216836
56,1590537600,20.15,20.22,19.54,20.02,21206,1,9695400,0.004012036108324901
57,1590624000,19.92,20.3,19.81,20.07,20055,1,9239400,0.0024975024975024684
58,1590710400,19.84,20.64,19.54,20.64,27516,1,17548200,0.0284005979073243
59,1590969600,20.67,21.22,20.63,20.8,19900,1,11023200,0.007751937984496138
60,1591056000,20.93,21.12,20.63,20.93,14543,1,6610600,0.006249999999999867
61,1591142400,21.37,21.61,20.88,21.02,18806,1,9131600,0.004300047778308613
